#CABOPER.A10
#[O]CESAR_surface_radiation.ctr
      day   btime   etime         SWD         SWU         LWD         LWU 
   y4mmdd    hhmm    hhmm        W/m2        W/m2        W/m2        W/m2 
 20030901    0000    0010  0.00000E+0  0.00000E+0  3.11492E+2  3.63797E+2
 20030901    0010    0020  0.00000E+0  0.00000E+0  3.15235E+2  3.62111E+2
 20030901    0020    0030  0.00000E+0  0.00000E+0  3.19914E+2  3.63584E+2
 20030901    0030    0040  0.00000E+0  0.00000E+0  3.13364E+2  3.62797E+2
 20030901    0040    0050  0.00000E+0  0.00000E+0  3.15562E+2  3.65158E+2
 20030901    0050    0100  0.00000E+0  0.00000E+0  3.28336E+2  3.65945E+2
 20030901    0100    0110  0.00000E+0  0.00000E+0  3.24593E+2  3.65259E+2
 20030901    0110    0120  0.00000E+0  0.00000E+0  3.31207E+2  3.69306E+2
 20030901    0120    0130  0.00000E+0  0.00000E+0  3.19043E+2  3.63797E+2
 20030901    0130    0140  0.00000E+0  0.00000E+0  3.32015E+2  3.65057E+2
 20030901    0140    0150  0.00000E+0  0.00000E+0  3.38565E+2  3.64945E+2
 20030901    0150    0200  0.00000E+0  0.00000E+0  3.34886E+2  3.62797E+2
 20030901    0200    0210  0.00000E+0  0.00000E+0  3.56344E+2  3.67992E+2
 20030901    0210    0220  0.00000E+0  0.00000E+0  3.31015E+2  3.63945E+2
 20030901    0220    0230  0.00000E+0  0.00000E+0  3.17369E+2  3.59324E+2
 20030901    0230    0240  0.00000E+0  0.00000E+0  3.11819E+2  3.58862E+2
 20030901    0240    0250  0.00000E+0  0.00000E+0  3.39827E+2  3.59223E+2
 20030901    0250    0300  0.00000E+0  0.00000E+0  3.51511E+2  3.66721E+2
 20030901    0300    0310  0.00000E+0  0.00000E+0  3.62215E+2  3.72981E+2
 20030901    0310    0320  0.00000E+0  0.00000E+0  3.58928E+2  3.72407E+2
 20030901    0320    0330  0.00000E+0  0.00000E+0  3.54313E+2  3.71833E+2
 20030901    0330    0340  0.00000E+0  0.00000E+0  3.53442E+2  3.73519E+2
 20030901    0340    0350  0.00000E+0  0.00000E+0  3.51179E+2  3.74205E+2
 20030901    0350    0400  0.00000E+0  0.00000E+0  3.55794E+2  3.70945E+2
 20030901    0400    0410  0.00000E+0  0.00000E+0  3.56729E+2  3.73992E+2
 20030901    0410    0420  0.00000E+0  0.00000E+0  3.48243E+2  3.69945E+2
 20030901    0420    0430  0.00000E+0  0.00000E+0  3.38277E+2  3.69057E+2
 20030901    0430    0440  0.00000E+0  0.00000E+0  3.57537E+2  3.68158E+2
 20030901    0440    0450  0.00000E+0  0.00000E+0  3.58408E+2  3.68732E+2
 20030901    0450    0500  0.00000E+0  0.00000E+0  3.55928E+2  3.71880E+2
 20030901    0500    0510  7.00000E+0  0.00000E+0  3.54665E+2  3.72667E+2
 20030901    0510    0520  1.20000E+1  0.00000E+0  3.51313E+2  3.73667E+2
 20030901    0520    0530  2.30000E+1  1.00000E+0  3.50442E+2  3.74454E+2
 20030901    0530    0540  4.90000E+1  7.00000E+0  3.51506E+2  3.78028E+2
 20030901    0540    0550  4.50000E+1  6.00000E+0  3.63888E+2  3.78241E+2
 20030901    0550    0600  3.00000E+1  3.00000E+0  3.57120E+2  3.78241E+2
 20030901    0600    0610  2.80000E+1  2.00000E+0  3.64735E+2  3.79241E+2
 20030901    0610    0620  4.10000E+1  5.00000E+0  3.66670E+2  3.81028E+2
 20030901    0620    0630  7.70000E+1  1.10000E+1  3.59313E+2  3.81342E+2
 20030901    0630    0640  6.50000E+1  9.00000E+0  3.59768E+2  3.83342E+2
 20030901    0640    0650  8.90000E+1  1.30000E+1  3.51084E+2  3.85241E+2
 20030901    0650    0700  1.48000E+2  2.50000E+1  3.48796E+2  3.87129E+2
 20030901    0700    0710  2.11000E+2  3.90000E+1  3.50251E+2  3.92491E+2
