Concentration profile measurents at Cabauw. NL by ECN								
Concentrations in ppm (CO2) and ppb (CH4). NOAA scale 1997								
Date/time indicates end of 1 hour averaging interval in UTC								
Date		Time	 CO2_20	CO2_60	CO2_120 CO2_200
24/09/2003 01:00	384.6	377.1	377.4	373.3
24/09/2003 02:00	391.5	378.0	380.2	375.3
24/09/2003 03:00	402.1	379.5	381.3	375.3
24/09/2003 04:00	400.8	374.5	378.7	373.5
24/09/2003 05:00	401.3	375.9	379.0	372.7
24/09/2003 06:00	403.3	390.1	378.4	371.1
24/09/2003 07:00	397.5	380.9	378.5	371.9
24/09/2003 08:00	385.1	373.7	374.6	370.1
24/09/2003 09:00	369.3	371.1	372.7	374.0
24/09/2003 10:00	369.0	370.1	372.3	370.5
24/09/2003 11:00	368.7	369.5	371.0	369.3
24/09/2003 12:00	368.1	368.8	370.1	368.7
24/09/2003 13:00	368.1	368.7	369.8	368.6
24/09/2003 14:00	368.3	368.7	369.7	368.6
24/09/2003 15:00	368.7	369.0	370.1	369.0
24/09/2003 16:00	370.5	370.1	371.0	370.2
24/09/2003 17:00	371.9	371.4	373.1	370.5
24/09/2003 18:00	377.1	373.0	376.4	371.5
24/09/2003 19:00	379.6	375.2	380.5	372.8
24/09/2003 20:00	380.2	372.9	379.7	372.5
24/09/2003 21:00	385.2	373.4	381.0	371.7
24/09/2003 22:00	388.8	378.6	383.4	373.8
24/09/2003 23:00	407.4	382.8	387.2	376.7
25/09/2003 00:00	403.2	377.4	387.7	376.3
25/09/2003 01:00	398.8	378.7	387.2	374.6
25/09/2003 02:00	403.8	384.4	386.8	374.7
25/09/2003 03:00	401.9	389.3	387.2	374.2
25/09/2003 04:00	408.9	388.9	384.9	379.5
25/09/2003 05:00	419.3	403.3	383.8	377.9
25/09/2003 06:00	430.7	405.3	389.9	377.2
25/09/2003 07:00	434.7	409.7	380.4	372.7
25/09/2003 08:00	424.7	416.3	393.5	376.4
25/09/2003 09:00	411.1	416.0	405.4	374.6
25/09/2003 10:00	391.3	393.9	395.1	389.6
25/09/2003 11:00	388.2	390.4	391.0	388.8
25/09/2003 12:00	380.6	382.8	383.6	381.1
25/09/2003 13:00	376.8	378.8	379.4	377.9
25/09/2003 14:00	376.4	377.6	378.7	377.4
25/09/2003 15:00	377.7	379.1	379.9	378.5
25/09/2003 16:00	378.2	379.2	380.1	378.7
25/09/2003 17:00	383.1	383.2	384.2	382.5
25/09/2003 18:00	388.5	386.5	385.7	384.3
25/09/2003 19:00	390.3	382.8	382.3	379.8
25/09/2003 20:00	393.4	386.1	384.6	378.7
25/09/2003 21:00	395.0	387.9	381.9	377.7
25/09/2003 22:00	392.0	387.0	382.8	375.7
25/09/2003 23:00	398.5	392.3	381.3	371.7
26/09/2003 00:00	404.2	393.8	379.0	375.5
26/09/2003 01:00	404.1	394.2	379.0	375.7
26/09/2003 02:00	406.2	396.8	380.3	376.3
26/09/2003 03:00	409.8	399.5	384.9	377.2
26/09/2003 04:00	415.5	403.6	394.0	378.5
26/09/2003 05:00	416.2	404.3	399.1	383.5
26/09/2003 06:00	418.1	405.5	410.8	397.9
26/09/2003 07:00	431.2	410.4	417.4	382.8
26/09/2003 08:00	439.2	424.2	398.6	377.3
26/09/2003 09:00	429.8	432.1	394.4	376.6
26/09/2003 10:00	405.1	408.6	405.7	387.0
26/09/2003 11:00	383.8	385.1	385.4	384.0
26/09/2003 12:00	376.1	377.4	379.2	377.5
26/09/2003 13:00	374.9	376.1	377.9	375.9
26/09/2003 14:00	375.2	376.6	378.6	376.5
26/09/2003 15:00	372.4	373.7	375.4	373.4
26/09/2003 16:00	373.5	374.6	376.3	374.5				
26/09/2003 17:00	375.9	376.9	378.1	376.8				
26/09/2003 18:00	379.7	379.7	380.5	377.4				
26/09/2003 19:00	384.8	381.6	381.3	377.6				
26/09/2003 20:00	389.1	384.7	382.6	377.8				
26/09/2003 21:00	388.3	385.8	384.5	384.6				
26/09/2003 22:00	383.3	381.9	381.4	381.8				
26/09/2003 23:00	384.0	383.2	381.4	376.8				
27/09/2003 00:00	384.5	382.7	381.4	373.8
