                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10          backgr_grad_advtheta              backgr_grad_advq            backgr_grad_advCO2        backgr_grad_deltatheta        backgr_grad_gammatheta            backgr_grad_deltaq            backgr_grad_gammaq          backgr_grad_deltaCO2          backgr_grad_gammaCO2           backgr_grad_sca_sto             backgr_grad_alpha             backgr_grad_FracH                backgr_grad_wg               backgr_grad_R10           Costf_grad_advtheta               Costf_grad_advq             Costf_grad_advCO2         Costf_grad_deltatheta         Costf_grad_gammatheta             Costf_grad_deltaq             Costf_grad_gammaq           Costf_grad_deltaCO2           Costf_grad_gammaCO2            Costf_grad_sca_sto              Costf_grad_alpha              Costf_grad_FracH                 Costf_grad_wg                Costf_grad_R10
                        1   -0.0009273797341081798   3.1289860817741114e-07    0.0017515976337541992       1.7979613343769625    0.0054970101072241125    -0.003184134364776429  -3.6700981102046677e-06      0.30756564365927375      -0.0336696547691847       0.4513329460160701      0.19875271888490817      0.48813015613992394       0.4701352810015242      0.12739133533391533                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0            -42542344.30631861            10238630138.155828             3735276.149916183           -1777.5428454632504            -173979.4815495267             444125.0828436376             473712776.2123854             198.1544898258727            105256.89815636456            1256.1029648702638             -2432.42551189807           -1652.4169883828686             948.3558562632533             998.8264236603234
                        2    -0.000927351972105151    3.128986079715753e-07     0.001751595192196214       1.7979613344305008     0.005497010107256863   -0.0031841343648701583  -3.6700981103046413e-06       0.3075656230079383     -0.03366965484243988       0.4513329459964259      0.19875271888579937      0.48813015614100025      0.47013528100147434      0.12739133518753043           0.17989777962668618         -0.001333816213300841       -0.00028126747990686596        4.7589586592443486e-11        7.2779359699342505e-09        -4.686463890568593e-08        -4.998680234926528e-05        -6.608427334242606e-11       -1.6278928822228207e-07        -6.286136056132818e-10        1.7824075548844573e-10        2.3917904693841287e-11        -4.431023449392847e-12       -3.2529978710726937e-09           -42540964.201938756             10238803257.49311             3735280.456752024           -1777.4700404946684           -173947.81657058638             444134.7437552453             473713015.4299477            198.15449617169529            105256.31715598387            1256.0925106259976           -2432.6194886296694           -1652.3863519104204             948.3363463107601             998.8008842039853
                        3    -0.000927379726133727     3.12898607861724e-07    0.0017515950844640843        1.797961334362809      0.00549701010707192   -0.0031841343649342884  -3.6700981103070392e-06       0.3075656228160367      -0.0336696548304834       0.4513329460013429      0.19875271888801513       0.4881301561403891       0.4701352810015058       0.1273913353026197         5.167445416877359e-05        -0.0020456525038966703         -0.000293678221241489       -1.2580948628561196e-11         -3.38205543817496e-08        -7.892970131651023e-08        -5.118577748610374e-05        -6.669835848072126e-11        -1.362193228586032e-07        -4.712710222065652e-10            6.213918268827e-10         1.033740994039868e-11       -1.6332614273374525e-12        -6.954585055988597e-10           -42542344.910906225            10238631923.957882            3735269.2840435603           -1777.5432395335888           -173980.26744801603            444125.14489813615             473712691.0485543            198.15413050204037            105256.70456839174            1256.1045464403562           -2432.4321187109404           -1652.4169756560943             948.3554744204107             998.8233382774197
                        4   -6.025283660221503e-05    3.127142412276385e-07    0.0002385492658608093        1.797955018548232     0.005496925325150924    -0.003184226271497878  -3.6701589294381706e-06       0.2951734105462612     -0.03370648862904518      0.45132403297832413      0.19875449816427887       0.4881304518395386        0.470135269087016      0.12736914332280058             5618.982295838652           -1194.6978345267396            -174.3031719813185        -5.614069982624098e-06         -0.018840460708522164          -0.04595336072451585           -30.409616751458728        -3.965514596164024e-05          -0.08185302191216554        -0.0002852172078711135         0.0003558558741401096         6.571102548511318e-06       -1.0590673967432924e-06        -0.0004931558025500493             687864.7292185305            16048157669.021648            106704.47354050362            203.22745746758997             282401.0260248633             758394.1429204072            392381599.88256377             7.484739161387295            2575.3005047443917            1168.9367947940675           -12774.669948450754            -515.6776586128552             69.27368136835695           -1357.8326550090167
                        5   -6.028013071807884e-05    3.127142216102576e-07   0.00023854502490676952        1.797955018176045     0.005496925321918525     -0.00318422628122985   -3.670158934473345e-06      0.29517336311578296    -0.033706488738026556      0.45132403186673553      0.19875449844887766       0.4881304518599625      0.47013526908679465      0.12736915542291882             5618.805429967854           -1194.8249551549115            -174.3036605392239        -5.614400815466701e-06          -0.01884117901934965           -0.0459582267103853             -30.4121343385717       -3.9655297739170516e-05          -0.08185326409300882       -0.00028525277870627974         0.0003559127938979056         6.571556412618109e-06       -1.0590870698952888e-06        -0.0004928869110335891             686479.9612189457            16047944782.289045            106678.14025507367            203.15946681375732              282377.809450694             758383.0618567723             392381868.3548859              7.48344856708001            2574.7534358481257            1168.9754770106567           -12774.412575531296            -515.7139142982821             69.29133659791384            -1357.833947939612
                        6  -6.0252759934182644e-05   3.1271422102680543e-07   0.00023854541010155097       1.7979550182267154     0.005496925321937454    -0.003184226281512532  -3.6701589346593643e-06       0.2951733656028621     -0.03370648873006131       0.4513240318070695      0.19875449845633092      0.48813045186145126      0.47013526908675746      0.12736915587161857             5618.982792647502           -1194.8287359250116           -174.30361616478507        -5.614355775149546e-06         -0.018841174813030714          -0.04595836805153415           -30.412227348295023        -3.965528978051722e-05            -0.081853246392461       -0.00028525468801987586        0.00035591428454995183         6.571589496030662e-06         -1.05909037589274e-06        -0.0004928769399281663             687866.3230602958            16048157987.549328            106694.20941613411             203.2269025226889             282400.1604001132             758394.0911669317             392381430.2158292             7.484226125851162            2575.0797479922485             1168.938888762564           -12774.679936931907            -515.6774894727604             69.27260772775509           -1357.8383061161855
                        7   -6.025283007354289e-05   3.1271420246797474e-07    0.0002385492535985443        1.797955017951991    0.0054969253191693036   -0.0031842262906974384  -3.6701589394163153e-06        0.295173383172016     -0.03370648865374403      0.45132403069452565      0.19875449872852444      0.48813045188148546       0.4701352690865809      0.12736916830854828             5618.982338144448           -1194.9489971478667           -174.30317339393144        -5.614599974674345e-06         -0.018841789957540118         -0.045962960504688025           -30.414605823798933       -3.9655233559224714e-05          -0.08185307679850792        -0.0002852902894225906         0.0003559687232534969        6.5720347003978616e-06       -1.0591060719791458e-06         -0.000492600563712426             687864.7289840278            16048153609.408552            106704.49625726049             203.2274016129511             282400.9542452324             758393.9333105463            392381495.90533507             7.484740342031034            2575.3009716820784             1168.936369315004           -12774.670118344595            -515.6776022921205             69.27356307117708           -1357.8324665060939
                        8  -6.0252865309066376e-05   3.1271424138012857e-07   0.00023854926265645822        1.797955018666306     0.005496925325492559    -0.003184226270473366  -3.6701589291485306e-06        0.295173395273136    -0.033706488638010706       0.4513240334251041      0.19875449847291993       0.4881304518520842       0.4701352690883572      0.12736914984908587             5618.982109818256           -1194.6968463910798           -174.30317235045976        -5.613965027961854e-06         -0.018840384789698468          -0.04595284846847965            -30.40947193148288        -3.965519483564073e-05           -0.0818530418355649       -0.00028520291091282957        0.00035591760235154085         6.571381339082194e-06        -1.058948178527746e-06        -0.0004930107739880501             687863.2705232942            16048157473.926634            106704.45682535667            203.22738721099188            282401.00309411075             758394.1328091179             392381600.8671813             7.484738359313266             2575.300163589872            1168.9368072763673           -12774.669525805255            -515.6776960947664             69.27370398588914            -1357.832608608384
                        9    -5.26767637783834e-05   1.5487419589490988e-07   0.00011621138974784572       1.7955519050945972     0.005472633879548891    -0.003262205883950611   -3.710738584215977e-06      0.17978057616027077     -0.03381068218456792       0.4421193843154394      0.20111985241027436      0.48830403668093336      0.47013378818752616      0.23055034757647164             5668.075247737081           -1023998.1915906083           -188.39649530953193        -0.0021417149176580588            -5.416939483382472            -39.03575958709091           -20320.237005654657       -0.00040891221599680957           -0.3133942564071463          -0.29483397442018244           0.47342670507323764          0.003864012022431535        -0.0001326945776024423             2.292422494279029            -414422.2504529023            -555600228.0410595           -1259.2788521324273           -106.05019638064074            -48594.03423596889            -98600.86380433502            -18046625.23649009            2.3747680316317816             274.4344704692738            -787.1901144594078           -13743.896432196694            -326.9947420686566            -538.9807273274522            -690.1559361067581
                       10   -5.267676366057378e-05   1.5487419599048166e-07   0.00011621138971448027       1.7955519052856939     0.005472633880085253    -0.003262205882806748  -3.7107385840005185e-06       0.1797805701423273    -0.033810682188616784       0.4421193850549576      0.20111985296465712       0.4883040366939818       0.4701337881892533      0.23055035510130129             5668.075248500487           -1023998.1909713031           -188.39649531337562        -0.0021417147477943307            -5.416939364190971            -39.03575901515951            -20320.23689792541        -0.0004089122352542287            -0.313394265404625          -0.29483395075559926              0.47342681594979         0.0038640123123971173       -0.00013269442408080244            2.2924226614974654            -414422.2512699934            -555600196.6028589           -1259.2673038623047           -106.05019485439716            -48594.03235380585            -98600.86193498991            -18046624.22680768            2.3747686167655466             274.4347084049502             -787.190140225994           -13743.896174049898            -326.9947402549565            -538.9807203797205            -690.1558831481328
