                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10          backgr_grad_advtheta              backgr_grad_advq            backgr_grad_advCO2        backgr_grad_deltatheta        backgr_grad_gammatheta            backgr_grad_deltaq            backgr_grad_gammaq          backgr_grad_deltaCO2          backgr_grad_gammaCO2           backgr_grad_sca_sto             backgr_grad_alpha             backgr_grad_FracH                backgr_grad_wg               backgr_grad_R10           Costf_grad_advtheta               Costf_grad_advq             Costf_grad_advCO2         Costf_grad_deltatheta         Costf_grad_gammatheta             Costf_grad_deltaq             Costf_grad_gammaq           Costf_grad_deltaCO2           Costf_grad_gammaCO2            Costf_grad_sca_sto              Costf_grad_alpha              Costf_grad_FracH                 Costf_grad_wg                Costf_grad_R10
                        1                      0.0                      0.0                      0.0                      4.2                   0.0036                  -0.0008                 -1.2e-06                    -44.0                     -0.0                      1.0                     0.25                      0.6                     0.48                     0.23                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0             3629012.016825288             7691449154.352327           -4158164.6789032267           -175.37831630026147            -67688.35142730069             264838.0263691991             50047208.56499821           -170.43633456476704            -41181.07153535034            2779.6209179411553            1962.0126871853095             400.0901784793348            -288.6887252854642            -6350.907241847404
                        2  -1.7478391759184922e-08  -1.1433422246210365e-15   2.0026946981745117e-08        4.200000000039058     0.003600000000094216   -0.0008000000004132744  -1.2000000000780974e-06       -43.99999986866054    1.983401813002386e-10       0.9999999996785667      0.24999999999468459        0.599999999998073       0.4800000000001121      0.23000000688226496           -0.1132599785995183         -0.007408857615544317         0.0023071042922970376         3.471790756116711e-11        2.0936955872722745e-08       -2.0663717048216568e-07        -3.904874826401528e-05         4.202862783131423e-10        4.4075595844497466e-07       -1.0285866380854713e-08       -1.0630829549995722e-09        -4.282253564093076e-11         9.967335598856961e-12        1.5293922116398227e-07            3628256.9431101573             7691157960.227471             -4158125.18066571           -175.39905251087362            -67693.18070174761            264829.41799236345             50046528.09493845           -170.43574826451118            -41181.59720451617             2779.611138929904            1962.3867421975738            400.06800509084957           -288.66979848255295            -6350.827145341769
                        3     2.06125744925381e-09  -1.9071226328303166e-15    3.936511978360635e-08        4.200000000129122    0.0036000000002651142   -0.0008000000007125739  -1.2000000001501514e-06       -43.99999973348812    4.361934674195009e-10       0.9999999993480162      0.24999999997838893       0.5999999999971408       0.4800000000001544      0.23000001330303732          0.013356948271164688         -0.012358154660740453          0.004534861799071452         1.147747575992576e-10         5.891429319701855e-08       -3.5628694005501726e-07        -7.507570648870084e-05         8.528380249117618e-10         9.693188164877799e-07       -2.0863481609012524e-08        -4.322214808283319e-09        -6.353683011815923e-11        1.3727290908920824e-11         2.956230513470912e-07             3629133.002025443            7691451239.3371525           -4158059.1582922596           -175.36357808657493            -67683.18424497875            264839.56545569625             50047905.67018763           -170.43194118993762           -41179.901457277745            2779.5949665760263            1962.1139674138676             400.0923740368575            -288.6802946040173            -6350.826523175285
                        4   3.8502726344500317e-13   -7.002874537578082e-16    -3.18438076637922e-12        4.199999999971034    0.0035999999999095107   -0.0008000000003576134  -1.2000000001055743e-06      -43.999999993537045    2.493342217008752e-11       0.9999999997968905      0.24999999997431163       0.5999999999988181      0.47999999999991877        0.230000002868068        2.4949766671236206e-06         -0.004537862700350598       -3.6684066428688614e-07       -2.5747700268160163e-11       -2.0108721786470262e-08       -1.7880667649641802e-07       -5.2787199152006404e-05          2.06814547709655e-11         5.540760482241671e-08        -6.499504934254219e-09        -5.137673619870497e-09       -2.6262942438077312e-11        -7.218916822340462e-12         6.373484394571625e-08             3629012.016568819             7691449098.768882           -4158164.6789163887           -175.37831842234223            -67688.35251231349            264838.02370916103              50047207.7041129            -170.4363345140075           -41181.071494690834            2779.6209071849385            1962.0126612367553            400.09017985101354            -288.6887274758883            -6350.907224573827
                        5   1.5545891376505574e-10   -3.046756335450037e-17   1.3752448439926094e-13        4.200000000015145    0.0036000000000515698   -0.0008000000000241715  -1.1999999999923362e-06       -43.99999999507639   1.3401189363671328e-11       0.9999999998465134      0.24999999996966216       0.5999999999973693      0.47999999999998294      0.23000000202211535         0.0010073737611975611       -0.00019742981053716242         1.584282060279486e-08         1.346241636686803e-11         1.145996877640856e-08       -1.2085710036913166e-08         3.831871174260048e-06         1.575556325406069e-11        2.9780420808158507e-08        -4.911569817522832e-09        -6.067568669720912e-09        -5.845941015220685e-11       -1.5148376380441024e-12         4.493589636192199e-08            3629018.8661927655             7691451603.734652           -4158164.5542469122           -175.37807964049335            -67688.28905798285            264838.10504661204             50047217.19703874            -170.4363205050312             -41181.0620801044            2779.6208813540115             1962.009973374714            400.09037384539084           -288.68884779678916            -6350.907551113393
                        6  -6.1018749906544994e-05   -8.796928519614203e-08    0.0012075782220767614        4.196369722439231     0.003588653882937746   -0.0008449119525908111  -1.2132561879987074e-06       -43.17800235191849     0.003146903847502776       0.9744813920115001      0.24677498647045748       0.5998515303000983      0.47998981268492913       0.5905123244461024            -395.4014993944116            -570040.9680710004            139.11301118324292        -0.0032269133873504704           -2.5213593471674978           -22.455976295405524            -6628.093999353736          0.002630392473860843             6.993119661117279           -0.8165954556319974           -0.6450027059085038        -0.0032993266644817014        -0.0009055391174091672             8.011384987691164             550887.2776136989           -2646231099.8060308            -1971.765768997421           -1.2631859444038733            -8503.947095923633           -104169.90803229972            -34945487.86427738           -1.0817660298606533             767.9572674092773             382.8269956805586             7309.436835658452             414.9490573133144             36.61419353788358            -555.3115839216762
                        7   -6.101875006545722e-05    -8.79692847211573e-08    0.0012075782218818017        4.196369722439581     0.003588653882949905    -0.000844911952423448  -1.2132561879431035e-06       -43.17800235163446     0.003146903843205461        0.974481391968582      0.24677498645013343       0.5998515302981141       0.4799898126849151       0.5905123255212699           -395.40150042416275            -570040.9649930993            139.11301116078357        -0.0032269133870394106           -2.5213593444655693            -22.45597621172398            -6628.093971551784          0.002630392474769724             6.993119651567691           -0.8165954570053771           -0.6450027099733134         -0.003299326708574826        -0.0009055391186575513             8.011385011583775             550887.2788611352           -2646231059.7500095           -1971.7647676888469            -1.263184964408122            -8503.946602126429            -104169.9062742867           -34945487.372423194           -1.0817659888565963             767.9572777905095             382.8269940889711             7309.436836822485             414.9490564526472             36.61419513393907             -555.311576127467
                        8   -6.101875015120874e-05   -8.796928521659555e-08    0.0012075782216749752        4.196369722421522    0.0035886538828949757    -0.000844911952624303  -1.2132561879975205e-06       -43.17800235299919    0.0031469038406505955        0.974481391964517        0.246774986444864       0.5998515302980024        0.479989812684861       0.5905123246632282           -395.40150097983263            -570040.9682035393            139.11301113695714        -0.0032269134030913603            -2.521359356672048            -22.45597631215146            -6628.093998760283          0.002630392470402603            6.9931196458902125           -0.8165954571354561           -0.6450027110271982         -0.003299326711056791        -0.0009055391234635835             8.011384992516183              550887.266236869            -2646231105.689111           -1971.7669985299422           -1.2631865581984265             -8503.94728317881           -104169.90830791197           -34945487.950489044           -1.0817660806284048             767.9572548830397             382.8269953877374             7309.436827044044             414.9490570090744            36.614193511944656            -555.3115833890175
                        9   -9.879169375592563e-05   -5.310581758718759e-08    0.0011506873776985728        4.194558791557625    0.0035851605958542457   -0.0008353562881229745  -1.2088031562828529e-06        -43.2680724199525     0.002100949632753215       0.9662620539717643      0.24253550713270242       0.5994794488399908      0.47998164687323447       0.6967747956205077            -640.1701755383981            -344125.6979649756            132.55918591087558        -0.0048366297265560985            -3.297645365723153           -17.678144061487217            -4401.578141426464           0.00234216825615199              4.66877696167381            -1.079614272903541           -1.4928985734595166          -0.01156780355575895        -0.0016313890458234206            10.372773236011282            -595650.7820447405           -49395114.056109555            -62196.04714273607             2.485282305704968             9152.086914804093             9449.850618148459           -1629321.7007522504           -3.6577713697069387             93.82740510838225            204.47780101525603             6401.326409591928             313.6925836258726            142.36386501182594            101.98732062465164
                       10   -9.879169360174563e-05  -5.3105817550109356e-08     0.001150687378227855        4.194558791555982    0.0035851605958394945   -0.0008353562881343691  -1.2088031562790164e-06      -43.268072417968405    0.0021009496318179642       0.9662620539409603       0.2425355070979131       0.5994794488383501       0.4799816468731767       0.6967747954824937            -640.1701745393117            -344125.6977247087            132.55918597184888         -0.004836629728015869           -3.2976453690012018           -17.678144067184537            -4401.578139508252         0.0023421682625011046             4.668776959595476           -1.0796142738892698           -1.4928985804173787         -0.011567803592218675        -0.0016313890509600526            10.372773232944304            -595650.7733317558           -49395109.272998154           -62196.045837116864             2.485282837731592             9152.087099666358             9449.850847230775            -1629321.630151244           -3.6577713153547164             93.82742030203674            204.47780104656306             6401.326394819434             313.6925837273752            142.36386508523063            101.98732076659749
