                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10                     data               background                    Costf
                        1   0.00015167032270604083  -2.9486776526725815e-07     0.010688496835831184        5.234765569909262    0.0077553715198926745     0.000307347157694824    2.326544045899431e-06       -65.24714339327656   -0.0005506435485107646       0.7936275057219258      0.12827340226045297       0.5221577684374741       0.4224840484408901       0.5792501280440281       113123.27510958433                      0.0       113123.27510958433
                        2    0.0001516500895506798   -2.948677648142821e-07     0.010688477986426637        5.234765569739019     0.007755371519655575     0.000307347157689398   2.3265440458796307e-06       -65.24714349406831    -0.000550643649117509       0.7936275059087237      0.12827340225644734        0.522157768437203      0.42248404844040954       0.5792501235280225       113122.29743334136    1.346858604129582e-09       113122.29743334271
                        3   0.00015167250610113585  -2.9486776427083273e-07     0.010688469196932105        5.234765569731949     0.007755371519439274   0.00030734715789330295   2.3265440458839184e-06       -65.24714356938844   -0.0005506437914788189       0.7936275058671769      0.12827340225460265       0.5221577684378134       0.4224840484402948       0.5792501233008824       113122.67333200555     5.94472861669267e-11       113122.67333200561
                        4   0.00015167032250290743  -2.9486776491564503e-07      0.01068849683587402        5.234765569914861     0.007755371519854769   0.00030734715784102077   2.3265440459188225e-06       -65.24714339990594   -0.0005506435712554795       0.7936275056776987      0.12827340227906658       0.5221577684373641       0.4224840484410343       0.5792501285756559       113123.27510467915    4.391353756966992e-18       113123.27510467915
                        5   -0.0004344600015839514   1.9712263774771944e-07    0.0018753285080606655         5.24253589299102     0.007702223706454365    0.0005118396780321952   2.3536551632666825e-06       -74.57302052885872     -0.03243088586766539       0.7318329083043837       0.1543000144497324       0.5220039562483745       0.4226854949400734        1.321073870990185       11305.632465563564       13.893979291875613       11319.526444855439
                        6    -0.000434459995460323   1.9712263358112752e-07    0.0018753285321505778        5.242535892941009     0.007702223706764616    0.0005118396765467412   2.3536551630232545e-06       -74.57302048592386     -0.03243088569450256       0.7318329087117341      0.15430001431560114         0.52200395624988      0.42268549493884844       1.3210738653105647       11305.632188100864       13.893979122035557         11319.5261672229
                        7   -0.0004344600018132207   1.9712263620009008e-07    0.0018753284991700168        5.242535892963709     0.007702223706418652     0.000511839677616258    2.353655163189693e-06       -74.57302053019463     -0.03243088586114308        0.731832908404584      0.15430001444479602       0.5220039562489067      0.42268549493987395        1.321073869245775       11305.632408642768        13.89397926739295       11319.526387910162
                        8  -0.00043446000201462795   1.9712263769241115e-07    0.0018753285097375672        5.242535892982155     0.007702223706422649    0.0005118396780284836    2.353655163297767e-06       -74.57302052747345     -0.03243088586506314       0.7318329083427473      0.15430001445985558       0.5220039562484098       0.4226854949400324       1.3210738704309035       11305.632463548343       13.893979282164276       11319.526442830507
                        9  -0.00027803562221857646  -1.3590999854052444e-07    0.0021091611540259483        5.236503786318718     0.007706267452710757   0.00040957245340790907     2.34028055163623e-06       -72.84827134761596    -0.024628124743274093       0.7635014668530062      0.14992011282432766       0.5221235577964053      0.42261109906859207       0.8396714151274036       2080.5594531652105        6.474210441110629        2087.033663606321
                       10  -0.00027803562041273105  -1.3590999939715003e-07     0.002109161154432708        5.236503786298994     0.007706267452722834   0.00040957245307404055    2.340280551597514e-06       -72.84827134167395    -0.024628124716224113       0.7635014669784284      0.14992011282787765       0.5221235577969303       0.4226110990683188       0.8396714127847105        2080.559439922014       6.4742104195254955       2087.0336503415397
                       11   -0.0002780356219436734   -1.359099982304765e-07     0.002109161153622625        5.236503786321469      0.00770626745270452   0.00040957245346869524   2.3402805516455498e-06       -72.84827134858364    -0.024628124748102314       0.7635014668522155       0.1499201128509685       0.5221235577964168       0.4226110990686334       0.8396714148025062       2080.5594511434615        6.474210439584135       2087.0336615830456
                       12  -0.00027803562239514756  -1.3590999853237577e-07     0.002109161154624029        5.236503786314723      0.00770626745270228   0.00040957245338658313   2.3402805516366957e-06       -72.84827134670361       -0.024628124742042       0.7635014668847653       0.1499201128706329       0.5221235577965196       0.4226110990685856       0.8396714142179569       2080.5594509790026         6.47421043583722       2087.0336614148396
                       13  -0.00027803562218401854    -1.35909998458322e-07     0.002109161155878137        5.236503786319316     0.007706267452706498    0.0004095724534261315   2.3402805516418076e-06       -72.84827134640724    -0.024628124743430103       0.7635014668541429      0.14992011288218532       0.5221235577964908       0.4226110990686155       0.8396714150852276       2080.5594512315115         6.47421043925376       2087.0336616707655
                       14    -0.000278035622109651  -1.3590999860161796e-07    0.0021091611525912626        5.236503786318479      0.00770626745266291    0.0004095724534649033   2.3402805516482865e-06       -72.84827134962917    -0.024628124758879894       0.7635014668256972      0.14992011298204755       0.5221235577966716      0.42261109906870525       0.8396714155986844       2080.5594487621197        6.474210446486356        2087.033659208606
                       15  -0.00027803562221970316  -1.3590999854036075e-07     0.002109161154030908        5.236503786316247    0.0077062674527060195    0.0004095724534059877    2.340280551637144e-06        -72.8482713476428    -0.024628124743322394       0.7635014668492628      0.14992011282436507       0.5221235577963603       0.4226110990685853       0.8396714151254798       2080.5594531691677        6.474210441104864       2087.0336636102725
                       16  -0.00016326681088620293   -1.487749242064241e-07    0.0021236644168350065       5.2034944325048755     0.007628053310770999   0.00038961833538048277   2.3556609735187733e-06       -73.19691710900481     -0.02904404037413046       0.7228688158294314      0.22570510907024313       0.5217156018096858       0.4225537706288631       0.5510331139562306        417.3882332493624         6.66142977684148       424.04966302620386
                       17  -0.00016324003342870586  -1.4877492426717457e-07    0.0021236637140220165        5.203494432465863     0.007628053310684559    0.0003896183352207839    2.355660973502603e-06        -73.1969171112247     -0.02904404037878732       0.7228688157999688        0.225705109069328       0.5217156018100533      0.42255377062870875       0.5510331133844488        417.3673436280377        6.661375826068433        424.0287194541061
                       18   -0.0001632667053029639  -1.4877492443685179e-07    0.0021236623270542484        5.203494432417847     0.007628053310632077   0.00038961833515168515     2.35566097349254e-06       -73.19691711882213    -0.029044040386720194       0.7228688158407364       0.2257051090739809       0.5217156018093102      0.42255377062875765        0.551033113094757         417.388106717593        6.661431624702273        424.0495383422953
                       19   -0.0001444387688960285   -1.487775906856831e-07    0.0020993818089024494        5.203493414844199     0.007628051670383268    0.0003896156223567532   2.3556606638562295e-06       -73.19703047111597    -0.029044186941250008       0.7228689252923153      0.22570515107200445       0.5217155977711682       0.4225537693250088       0.5510229182514133       409.78097046467104        6.648163628146006       416.42913409281704
                       20  -0.00014442020029388172  -1.4877768146562332e-07     0.002099380496726779       5.2034933950125835    0.0076280516395933725    0.0003896155529074431   2.3556606574330524e-06        -73.1970299894881    -0.029044187086339174       0.7228689279089904      0.22570515360637805       0.5217155976344524       0.4225537693142689       0.5510227983226725       409.78094545603324        6.648129326584348        416.4290747826176
                       21  -0.00014443848849147675   -1.487777821204172e-07    0.0020993771242633873       5.2034933730090875     0.007628051605464574    0.0003896154759933818   2.3556606503148857e-06       -73.19702946725029     -0.02904418725770348       0.7228689308645764      0.22570515641676175       0.5217155974821418      0.42255376930246946       0.5510226652746777       409.78089235581086        6.648167785680622        416.4290601414915
                       22   -0.0001444377155153201   -1.487835640706642e-07    0.0020993943883564122         5.20349211055638     0.007628049646678962   0.00038961105620878556   2.3556602420215465e-06       -73.19699826817786     -0.02904419591131232       0.7228690989430921       0.2257053182470296       0.5217155887385925      0.42255376862734667       0.5510150618711549       409.77871076491846         6.64815094692098        416.4268617118394
                       23   -0.0001444385056130706  -1.4877758320041568e-07     0.002099381876962632        5.203493393357476     0.007628051637187581    0.0003896155849599171   2.3556606637769527e-06       -73.19702991945873    -0.029044187117670435       0.7228689275265037      0.22570515361508578       0.5217155975590474      0.42255376932250177       0.5510228551787248       409.78096623338604       6.6481631439013436        416.4291293772874
                       24  -0.00014311033051539322  -1.5208009520881172e-07    0.0021001949048745777        5.202740710769005    0.0076268839757547575    0.0003870322476723048   2.3554265868714423e-06        -73.1784530117876    -0.029049438003305963       0.7229682867783278      0.22580131839878806         0.52171029950316       0.4225533787707429       0.5465783623724709        409.1482811913343        6.646189215012274        415.7944704063466
