                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10                     data               background                    Costf
                        1                      0.0                      0.0                      0.0                      4.2                   0.0036                  -0.0008                 -1.2e-06                    -44.0                     -0.0                      1.0                     0.25                      0.6                     0.48                     0.23        4701.969726187161                      0.0        4701.969726187161
                        2  -1.7478391759184922e-08  -1.1433422246210365e-15   2.0026946981745117e-08        4.200000000039058     0.003600000000094216   -0.0008000000004132744  -1.2000000000780974e-06       -43.99999986866054    1.983401813002386e-10       0.9999999996785667      0.24999999999468459        0.599999999998073       0.4800000000001121      0.23000000688226496        4701.822944456711    1.012903869502547e-09        4701.822944457725
                        3     2.06125744925381e-09  -1.9071226328303166e-15    3.936511978360635e-08        4.200000000129122    0.0036000000002651142   -0.0008000000007125739  -1.2000000001501514e-06       -43.99999973348812    4.361934674195009e-10       0.9999999993480162      0.24999999997838893       0.5999999999971408       0.4800000000001544      0.23000001330303732        4701.813357433541   1.0302605369631097e-10        4701.813357433643
                        4   3.8502726344500317e-13   -7.002874537578082e-16    -3.18438076637922e-12        4.199999999971034    0.0035999999999095107   -0.0008000000003576134  -1.2000000001055743e-06      -43.999999993537045    2.493342217008752e-11       0.9999999997968905      0.24999999997431163       0.5999999999988181      0.47999999999991877        0.230000002868068       4701.9697143918975    9.557091786078121e-17       4701.9697143918975
                        5   1.5545891376505574e-10   -3.046756335450037e-17   1.3752448439926094e-13        4.200000000015145    0.0036000000000515698   -0.0008000000000241715  -1.1999999999923362e-06       -43.99999999507639   1.3401189363671328e-11       0.9999999998465134      0.24999999996966216       0.5999999999973693      0.47999999999998294      0.23000000202211535        4701.970274810863    7.834876015239749e-14        4701.970274810863
                        6  -6.1018749906544994e-05   -8.796928519614203e-08    0.0012075782220767614        4.196369722439231     0.003588653882937746   -0.0008449119525908111  -1.2132561879987074e-06       -43.17800235191849     0.003146903847502776       0.9744813920115001      0.24677498647045748       0.5998515303000983      0.47998981268492913       0.5905123244461024        406.9587901632926       1.5893452340141405       408.54813539730674
                        7   -6.101875006545722e-05    -8.79692847211573e-08    0.0012075782218818017        4.196369722439581     0.003588653882949905    -0.000844911952423448  -1.2132561879431035e-06       -43.17800235163446     0.003146903843205461        0.974481391968582      0.24677498645013343       0.5998515302981141       0.4799898126849151       0.5905123255212699       406.95878802486726       1.5893452424073724       408.54813326727464
                        8   -6.101875015120874e-05   -8.796928521659555e-08    0.0012075782216749752        4.196369722421522    0.0035886538828949757    -0.000844911952624303  -1.2132561879975205e-06       -43.17800235299919    0.0031469038406505955        0.974481391964517        0.246774986444864       0.5998515302980024        0.479989812684861       0.5905123246632282        406.9587897548666       1.5893452358111548       408.54813499067774
                        9   -9.879169375592563e-05   -5.310581758718759e-08    0.0011506873776985728        4.194558791557625    0.0035851605958542457   -0.0008353562881229745  -1.2088031562828529e-06        -43.2680724199525     0.002100949632753215       0.9662620539717643      0.24253550713270242       0.5994794488399908      0.47998164687323447       0.6967747956205077        304.1175949161014        2.567818904241267       306.68541382034266
                       10   -9.879169360174563e-05  -5.3105817550109356e-08     0.001150687378227855        4.194558791555982    0.0035851605958394945   -0.0008353562881343691  -1.2088031562790164e-06      -43.268072417968405    0.0021009496318179642       0.9662620539409603       0.2425355070979131       0.5994794488383501       0.4799816468731767       0.6967747954824937        304.1175945397175        2.567818902854113       306.68541344257164
                       11   -9.879169386274074e-05   -5.310581759325446e-08    0.0011506873775470716         4.19455879153092     0.003585160595769095   -0.0008353562881752985  -1.2088031562734976e-06      -43.268072418749995      0.00210094961875907       0.9662620538646052       0.2425355070413997       0.5994794488343931      0.47998164687305356       0.6967747956289987        304.1175943747645       2.5678189045705624        306.6854132793351
                       12   -9.879169375805483e-05   -5.310581766181627e-08    0.0011506873779920015        4.194558791551309     0.003585160595828407   -0.0008353562881694918    -1.20880315628894e-06       -43.26807241872593    0.0021009496298954418       0.9662620539442623      0.24253550713185754       0.5994794488385312       0.4799816468731831        0.696774795459083       304.11759487098317        2.567818902654252       306.68541377363744
                       13   -9.133780405860966e-05    -5.30191099227951e-08     0.001219859844927328        4.190662286797555    0.0035711297733028845   -0.0008460071166460554   -1.207461250002405e-06       -42.78150669754593    7.419296806369111e-05       0.9472297360410984      0.22642721255064396        0.598479678924745       0.4799484596042226       0.6701307296124215       243.78445326231332        2.377444183914007       246.16189744622733
                       14    -9.13621298792723e-05  -5.3019093459961416e-08    0.0012198508501127955        4.190662283611894    0.0035711297606187443   -0.0008460071208820128  -1.2074612459037041e-06      -42.781506094182085    7.418994207741811e-05       0.9472297199398649       0.2264272133495575       0.5984796779503091        0.479948459574653       0.6701307202450444         243.784235237079       2.3774572477365483       246.16169248481555
                       15   -9.133740363912283e-05  -5.3019090587350184e-08    0.0012198506811972017        4.190662283164314     0.003571129758700816    -0.000846007121438744   -1.207461245219751e-06      -42.781505989181575    7.418947408189007e-05       0.9472297173567557      0.22642721347319267       0.5984796777958276      0.47994845956992677       0.6701307189481289        243.7844200679846       2.3774425778595574       246.16186264584417
                       16   -9.133781167541484e-05   -5.301908439548915e-08    0.0012198598742551856       4.1906622820307735     0.003571129754088062   -0.0008460071230458972  -1.2074612436064483e-06      -42.781505670917284    7.418846395245211e-05       0.9472297110969272      0.22642721379129704       0.5984796774211386       0.4799484595586836       0.6701307174728246       243.78443696240984        2.377444104910183       246.16188106732002
                       17   -9.134197547852706e-05  -5.3019097510368996e-08     0.001219859791717859        4.190662270405782    0.0035711297072915293   -0.0008460071674675604  -1.2074612403793777e-06      -42.781503557392725    7.417918234885075e-05       0.9472296577449555       0.2264272159353004       0.5984796743659221      0.47994845946051523       0.6701306891292038       243.78438006615352        2.377446373285392        246.1618264394389
                       18   -9.404754973920348e-05   -4.503827917513893e-08      0.00122751714987974        4.189171312891225     0.003565119690800868   -0.0008480102812433508   -1.205461316115618e-06       -42.46042476201987   -0.0013345484643694804       0.9394280139059898      0.22681522233195442       0.5980094073676204       0.4799342164112244       0.6663334858457972       241.25033103559667        2.356474921441518        243.6068059570382
