                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta             Costf_grad_gammaq                Costf_grad_CO2             Costf_grad_advCO2                Costf_grad_z0m                Costf_grad_z0h
                        1                    650.0                     0.45                      0.5                     0.14                    0.005                   -3e-06                    380.0                    0.006                      0.1                     0.01            10.374758983306057             26358.37316443217            -16956.16334387973            1392.1097898619105             668100.3856967195            134074632.04551478             279.3899706297462            4133092.3223367105            -4068.272319450229            -26651.12867157257
                        2        649.9999999995116       0.4499999999938438        0.500000000004238      0.13999999999979904     0.004999999925039635  -3.0148938531649116e-06       379.99999999549476     0.005999999535346818      0.10000000000054683     0.010000000003020065            10.373596046648442            26358.379624330235           -16955.730476660956             1392.381387610533             668353.5659127505            133973353.00803052             279.3457212560195             4132690.568868517              -4066.8849735621            -26649.44424543012
                        3        649.9999999995837        0.449999999993837        0.500000000004098      0.13999999999974694     0.004999999887342583   -2.999998672749168e-06        379.9999999964366     0.005999999594825134      0.10000000000030018     0.010000000002769535            10.374757586214773             26358.37202155962            -16956.16319901933            1392.1096336366338             668100.3100071882            134074632.05123845            279.38991585353153             4133091.801643855           -4068.2719443369606            -26651.12705805107
                        4         650.000000000048      0.44999999999564727       0.5000000000039059      0.13999999999990423     0.004999999946275642  -2.9999914801625554e-06       380.00000000270364      0.00600000000738811      0.09999999999994388      0.01000000000150549            10.374759665456914             26358.37316767436           -16956.163586858103            1392.1096354882304             668100.2482393761             134074690.9864765             279.3899960151168             4133092.553082777            -4068.273093426296           -26651.129632662327
                        5        649.9970212251402      0.44995563186581533       0.5000295557832841       0.1399981824795732     0.004190386933583479  -1.2780151720624174e-05        379.9746215623631     0.003098549366841241      0.10000214719646684     0.010019914596593519            -9.964731529305784             3206.187377090623           -17237.592519349637           -1537.3894702635623           -1713041.3959596816            -603702793.1291107           -188.39833339002908            -285165.1968170044             3696.367363082923            13086.779684230605
                        6        649.9985106125702      0.44997781593290764       0.5000147778916421       0.1399990912397866     0.004595193466791739   -7.890075860312087e-06        379.9873107811815      0.00454927468342062      0.10000107359823342      0.01000995729829676            3.3801652118576264            20365.508289728914           -16384.390290313804             775.3706725729354             365399.8058969442            3664340.7847023597             51.04556954559565            1975724.2748899637           -1325.3662623722894           -16293.305611471937
                        7        649.9977659188552       0.4499667238993615        0.500022166837463      0.13999863685967992     0.004392790200187609   -1.033511379046813e-05        379.9809661717723    0.0038239120251309304      0.10000161039735013     0.010014935947445139            -1.853204490450284            14460.478820312022            -16455.37536442159            61.853948171356805           -176448.70689925933           -174227854.83222407            -66.78483314187945             863098.1495686517             698.5500182079892            -6025.269353989374
                        8        649.9977659189549      0.44996672389586007       0.5000221668417518      0.13999863685967048      0.00439279022503103  -1.0335113636367516e-05        379.9809661729903    0.0038239120018234932      0.10000161039723596     0.010014935948123502           -1.8532043132060547            14460.479167045187           -16455.375319565897             61.85399293199257             -176448.664797839            -174227838.9788129            -66.78483487362546             863098.1325632617             698.5499167206202            -6025.269996791439
                        9        649.9977659189642       0.4499667238944944       0.5000221668425314      0.13999863685961772     0.004392790176029171  -1.0335113734918685e-05        379.9809661745777    0.0038239120166836203      0.10000161039728817     0.010014935948841883           -1.8532045250487001            14460.478770332256           -16455.375361914837             61.85394168155499            -176448.7121070041            -174227856.2429661            -66.78483472099313             863098.1346181202             698.5500339582921            -6025.269269981766
                       10        649.9977659189279      0.44996672389273884        0.500022166844146        0.139998636859595     0.004392790172215961  -1.0335113713313536e-05       379.98096617586225    0.0038239120271965905      0.10000161039734257     0.010014935949481867           -1.8532044705497686            14460.478822142888             -16455.3753626735            61.853948344699376           -176448.70690465264           -174227854.96877733             -66.7848332368992             863098.1486548041             698.5500174593531            -6025.269354313589
