                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                     data                    Costf
                        1                    650.0                     0.45                      0.5                     0.14                    0.005                   -3e-06                    380.0                    0.006                      0.1                     0.01       15643.245129959045       15643.245129959045
                        2        649.9999999995116       0.4499999999938438        0.500000000004238      0.13999999999979904     0.004999999925039635  -3.0148938531649116e-06       379.99999999549476     0.005999999535346818      0.10000000000054683     0.010000000003020065        15641.24702378571        15641.24702378571
                        3        649.9999999995837        0.449999999993837        0.500000000004098      0.13999999999974694     0.004999999887342583   -2.999998672749168e-06        379.9999999964366     0.005999999594825134      0.10000000000030018     0.010000000002769535       15643.243556711162       15643.243556711162
                        4         650.000000000048      0.44999999999564727       0.5000000000039059      0.13999999999990423     0.004999999946275642  -2.9999914801625554e-06       380.00000000270364      0.00600000000738811      0.09999999999994388      0.01000000000150549       15643.246267430859       15643.246267430859
                        5        649.9970212251402      0.44995563186581533       0.5000295557832841       0.1399981824795732     0.004190386933583479  -1.2780151720624174e-05        379.9746215623631     0.003098549366841241      0.10000214719646684     0.010019914596593519       10508.949230630236       10508.949230630236
                        6        649.9985106125702      0.44997781593290764       0.5000147778916421       0.1399990912397866     0.004595193466791739   -7.890075860312087e-06        379.9873107811815      0.00454927468342062      0.10000107359823342      0.01000995729829676       10569.928408094804       10569.928408094804
                        7        649.9977659188552       0.4499667238993615        0.500022166837463      0.13999863685967992     0.004392790200187609   -1.033511379046813e-05        379.9809661717723    0.0038239120251309304      0.10000161039735013     0.010014935947445139        9690.754500772811        9690.754500772811
                        8        649.9977659189549      0.44996672389586007       0.5000221668417518      0.13999863685967048      0.00439279022503103  -1.0335113636367516e-05        379.9809661729903    0.0038239120018234932      0.10000161039723596     0.010014935948123502         9690.75444921721         9690.75444921721
                        9        649.9977659189642       0.4499667238944944       0.5000221668425314      0.13999863685961772     0.004392790176029171  -1.0335113734918685e-05        379.9809661745777    0.0038239120166836203      0.10000161039728817     0.010014935948841883        9690.754487716758        9690.754487716758
                       10        649.9977659189279      0.44996672389273884        0.500022166844146        0.139998636859595     0.004392790172215961  -1.0335113713313536e-05       379.98096617586225    0.0038239120271965905      0.10000161039734257     0.010014935949481867        9690.754493557628        9690.754493557628
                       11        650.0074793442428      0.44954570410447026       0.5004691221985272      0.13999372551666114     0.002863805716683322   -4.014016608058969e-06       380.21301076103686    0.0028643520140081043      0.09999532553017812     0.010131422146529984        8933.030856117834        8933.030856117834
                       12        650.0074793442906      0.44954570410118583       0.5004691222021795      0.13999372551664618    0.0028638057198863056   -4.014016592376417e-06        380.2130107631859     0.002864352018259374      0.09999532553014495     0.010131422147380059        8933.030851937054        8933.030851937054
                       13        650.0074793443282        0.449545704099277       0.5004691222040635       0.1399937255166227    0.0028638057129837854   -4.014016603335121e-06       380.21301076461225    0.0028643520152425187      0.09999532553012254      0.01013142214797946          8933.0308547871          8933.0308547871
                       14        650.0074793443698      0.44954570409491523       0.5004691222092011      0.13999372551661973    0.0028638057125458154   -4.014016592069159e-06        380.2130107675213    0.0028643520127866894      0.09999532553000792     0.010131422148862075        8933.030854712897        8933.030854712897
                       15        650.0074793445509      0.44954570407891764       0.5004691222278309      0.13999372551660855     0.002863805717567411   -4.014016609948217e-06       380.21301077874244     0.002864352012080807      0.09999532552962641     0.010131422152264176        8933.030852499583        8933.030852499583
                       16        650.0074793441314       0.4495457041004856       0.5004691222032145      0.13999372551668812    0.0028638057166930227   -4.014016608125868e-06       380.21301076098706    0.0028643520140103256      0.09999532553029646     0.010131422146249658        8933.030856002366        8933.030856002366
                       17         645.163272435709      0.19402166862176684       0.7991613189925746       0.1412042346046397     0.003287394945280564  -5.6435306406798376e-06       417.29037593422555   -0.0006602790619777092      0.10468109252343102     0.009138955048403605       1704.6814370622274       1704.6814370622274
                       18         645.163272394452      0.19402166646980046       0.7991613215159161       0.1412042346153735    0.0032873950151313027   -5.643530530619663e-06       417.29037617245456   -0.0006602790816316395      0.10468109256318477     0.009138955035834978        1704.681312506265        1704.681312506265
                       19        645.1632724330549      0.19402166848835245        0.799161319154133      0.14120423460559203    0.0032873949415422074   -5.643530631483242e-06       417.29037593688975   -0.0006602790571233431      0.10468109252590342     0.009138955046990619       1704.6814336917132       1704.6814336917132
                       20        645.1632724344432      0.19402166856617498       0.7991613190666194      0.14120423460541723    0.0032873949403774663   -5.643530624441913e-06        417.2903759164098   -0.0006602790605516537      0.10468109252441633     0.009138955046526643       1704.6814352705055       1704.6814352705055
                       21        644.4166376748076      0.15698489675315452       0.8442953421475002      0.14148505748655874     0.002776491161075884  -1.7103924073039815e-06        416.9513626002548  -0.00012780695028127668      0.10536046539808283      0.00865027054436919          960.52924602594          960.52924602594
                       22        644.4166376805459      0.15698489706126684       0.8442953417962468       0.1414850574851979    0.0027764911686899946  -1.7103924158761104e-06        416.9513625589032  -0.00012780694939642807      0.10536046539242118     0.008650270544429255        960.5292429325806        960.5292429325806
                       23        644.4166376720085      0.15698489662187104       0.8442953423211597      0.14148505748783144    0.0027764911626127434  -1.7103924044695973e-06       416.95136261101044  -0.00012780695103318997      0.10536046540047113     0.008650270541221087        960.5292451943689        960.5292451943689
                       24        644.4166376732247      0.15698489668750548       0.8442953422473155      0.14148505748755275    0.0027764911620356985  -1.7103924115850872e-06       416.95136260373584   -0.0001278069508910771      0.10536046539929259       0.0086502705412779        960.5292455676278        960.5292455676278
                       25        644.4166376722834      0.15698489667081877       0.8442953423022341      0.14148505748884768    0.0027764911609191177  -1.7103924063065452e-06        416.9513625744924  -0.00012780694739341226      0.10536046539965595     0.008650270536238463        960.5292452030476        960.5292452030476
                       26        644.4166376748252      0.15698489677552957       0.8442953421466373      0.14148505748726742     0.002776491161190523  -1.7103924085063755e-06       416.95136259880684  -0.00012780694944688944      0.10536046539769979     0.008650270540451362        960.5292458353786        960.5292458353786
                       27        643.5180108682504      0.12997771263692687       0.9003718688929829      0.14238205094874337     0.003565671343886887  -2.8387679540893046e-06        412.3044075620518    0.0003747654157730696       0.1058713845946351     0.005196482065143589        640.8151486979774        640.8151486979774
                       28        643.5178017056893      0.12996822867738755       0.9003848159416121        0.142382155323266     0.003565673019860289  -2.8339750629761774e-06        412.3050070332839    0.0003746461444360978      0.10587155934402175    0.0051961917426432405        640.6603792546506        640.6603792546506
                       29        643.5180108605308      0.12997771240497025       0.9003718693891097      0.14238205095569684    0.0035656713486938037  -2.8387679600741434e-06       412.30440753707205    0.0003747654162705571       0.1058713845994427     0.005196482037386036        640.8151472097312        640.8151472097312
                       30        643.5180110417149      0.12997772056912715       0.9003718581804547      0.14238205086331635    0.0035656713444996713  -2.8387719914288528e-06        412.3044070711502   0.00037476551515115957      0.10587138444916123     0.005196482297077534        640.8152789195043        640.8152789195043
                       31        642.8692285525776      0.11020147042168044       0.9420244767303003      0.14295904194828699     0.003958336234779812  -2.9052624014326405e-06        410.3174640579688    0.0004048812107920064      0.10627935224520031    0.0029043148430893647        567.3835273556264        567.3835273556264
                       32        642.8692285512561      0.11020147046195211       0.9420244767503199      0.14295904195675713     0.003958336328871732  -2.8846225916119595e-06        410.3174640666052   0.00040488119870379924      0.10627935224354655    0.0029043147800797238         567.268133832294         567.268133832294
                       33        642.8692285512026      0.11020147046173673        0.942024476750342       0.1429590419567382     0.003958336302026053   -2.905262478573099e-06         410.317464066403   0.00040488118696961096      0.10627935224361432    0.0029043147811515244        567.3835242525175        567.3835242525175
                       34        642.8692285433148      0.11020147069799008       0.9420244768693316      0.14295904200668144     0.003958336617838675  -2.9054373805923706e-06        410.3174641188879   0.00040488123099664645      0.10627935223457644    0.0029043144220190047        567.3845955090267        567.3845955090267
                       35        642.8650633117513      0.11032280662273308        0.942085185658874      0.14298464186049015     0.004162034034734723  -3.0390530778204715e-06       410.34301252517923    0.0003327216502426976      0.10627454807306833     0.002716696336073544        562.1371316136676        562.1371316136676
                       36        642.8650633106696      0.11032280666505351       0.9420851856795249      0.14298464186882773     0.004162034034848014   -3.039053077966043e-06        410.3430125361383    0.0003327216531152505      0.10627454807186805      0.00271669626574625        562.1371298118863        562.1371298118863
                       37        642.8650633096021      0.11032280668141514       0.9420851856933045      0.14298464187274568     0.004162034027219502   -3.039053076668008e-06        410.3430125331497     0.000332721647531801       0.1062745480734248    0.0027166963007767353        562.1371305628281        562.1371305628281
                       38        642.8650633087765      0.11032280670991218         0.94208518571516       0.1429846418792581     0.004162034033673564   -3.039053077628761e-06         410.343012540871    0.0003327216488843224      0.10627454807496771    0.0027166963408911515         562.137130725384         562.137130725384
                       39        642.8650633082656       0.1103228066774295       0.9420851856992429      0.14298464187317816    0.0041620340370513735  -3.0390530758671152e-06        410.3430125246373    0.0003327216492097348      0.10627454807530343    0.0027166963347201346        562.1371312156973        562.1371312156973
                       40        641.1972785973277      0.15331208423964054       0.9701569065619584      0.15231815349588543     0.003727616663166765   -2.674914089961912e-06         416.744483080321   -0.0003518537019955069      0.10724875206617518    0.0010350335923691462       341.43439904214466       341.43439904214466
                       41        641.1972785804527      0.15331208464743667       0.9701569068280386      0.15231815358183493     0.003727616655624266  -2.6749140833237313e-06        416.7444831240341   -0.0003518537067334262      0.10724875207643128    0.0010350336671597852         341.434394860569         341.434394860569
                       42        641.1972785936881      0.15331208429390697       0.9701569066003659      0.15231815350639524    0.0037276166573513626   -2.674914086236904e-06       416.74448307209343   -0.0003518537000448971      0.10724875206849138    0.0010350335910114493        341.4343985695463        341.4343985695463
                       43        641.1972785920722      0.15331208430676269       0.9701569066144332      0.15231815350929206    0.0037276166637946586  -2.6749140885032124e-06        416.7444830701524   -0.0003518537004242152      0.10724875206952265     0.001035033592832739       341.43439865354253       341.43439865354253
                       44        641.1972785812833       0.1533120844386452       0.9701569067273854      0.15231815354033323     0.003727616663913554   -2.674914094018856e-06       416.74448305746176   -0.0003518537024853677      0.10724875207640379    0.0010350335909034246        341.4343982326137        341.4343982326137
