                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta             Costf_grad_gammaq                Costf_grad_CO2             Costf_grad_advCO2                Costf_grad_z0m                Costf_grad_z0h
                        1                    650.0                     0.45                      0.5                     0.14                    0.005                   -3e-06                    380.0                    0.006                      0.1                     0.01            10.515911358587168            26058.211973767528             -17140.3792731019            1406.5666917414005             669065.2604714307            138193901.54718775             283.5862299050466            4182847.7514735595              -4052.7186826603            -26354.49959875379
                        2        649.9999999995197      0.44999999999409523       0.5000000000041565        0.139999999999803     0.004999999927167705  -3.0148941209072997e-06        379.9999999955633     0.005999999543762047      0.10000000000052851     0.010000000002897483            10.514847384072228             26058.35096950769            -17139.93177999469             1406.859510174893             669327.9690046051            138095835.34670627             283.5419667078401            4182445.8624719544            -4051.374896620971           -26353.054622659944
                        3        649.9999999995879       0.4499999999940464       0.5000000000040066        0.139999999999745      0.00499999988677977   -2.999998683918775e-06       379.99999999653664     0.005999999605243904      0.10000000000028175       0.0100000000026756            10.515909989772961            26058.210846941834            -17140.37913221963            1406.5665369625947             669065.1858453831            138193901.55239898            283.58617654318306             4182847.244213952           -4052.7183137919064           -26354.498008075905
                        4        650.0000000000432       0.4499999999958285       0.5000000000038262      0.13999999999990081     0.004999999944830773  -2.9999916375163853e-06       380.00000000265453     0.006000000007701615      0.09999999999993059     0.010000000001429383            10.515911973863545             26058.21190316829           -17140.379519611095            1406.5665283620165             669065.1205418889            138193957.68502256             283.5862548488174             4182847.978235368           -4052.7194171169745           -26354.500408014956
                        5        649.9969510740709      0.44995566536292886       0.5000298978178626      0.13999810599216153    0.0041584177895340815  -1.3754010849375708e-05         379.974518155284    0.0030776348140164563      0.10000208219094198      0.01001989743741712           -13.029263024284415           -2687.2691362427367           -18080.521008730622           -2426.7965468858806            -2707853.221245693            -861780354.5432067           -194.61360789725066            -332689.1926457558             4922.441890599384            22713.159297944447
                        6        649.9984755370355       0.4499778326814644       0.5000149489089313      0.13999905299608076      0.00457920889476704   -8.377005424687854e-06         379.987259077642     0.004538817407008228      0.10000104109547099      0.01000994871870856             3.191115803186768            19642.511450833455           -16582.685447815184             749.6511768282304            335121.23857142095            -8495991.977489753             51.36617285878132            1989525.7815101314           -1137.4806993433453            -15195.46962535823
                        7        649.9977133055531      0.44996674902219663        0.500022423363397      0.13999857949412114    0.0043688133421505605  -1.1065508137031782e-05         379.980888616463     0.003808226110512342      0.10000156164320649     0.010014923078062841           -2.7698316382238257            12554.031675354907           -16777.751179491184           -129.89500259356075            -368751.1452150501            -234127712.1607624            -69.21294744032036             851310.2729568167            1181.3023389551465           -2879.5761980875673
                        8        649.9977133056441      0.44996674901895045       0.5000224233676982      0.13999857949412084     0.004368813378970064  -1.1065507957921076e-05        379.9808886172372     0.003808226080106911       0.1000015616430829     0.010014923078582543            -2.769831347673251            12554.032241799485           -16777.751107370597           -129.89492595903147           -368751.07012892165           -234127686.33254293            -69.21294958621972             851310.2518615724            1181.3021849305073            -2879.577225817201
                        9        649.9977133056599      0.44996674901801226       0.5000224233679796      0.13999857949406513     0.004368813320101573   -1.106550807918011e-05        379.9808886189297     0.003808226102462326      0.10000156164312267     0.010014923079187832            -2.769831665387901            12554.031634518533           -16777.751176535454           -129.89500792433105           -368751.15039639716           -234127713.46178892            -69.21294891599685             851310.2589867233            1181.3023506568782           -2879.5761309223117
                       10        649.9977133056212      0.44996674901573147       0.5000224233701044       0.1399985794940255     0.004368813313656009  -1.1065508051831155e-05        379.9808886205368    0.0038082261127452615      0.10000156164318626      0.01001492308001646           -2.7698316108531995            12554.031685006292            -16777.75117683214           -129.89500122979632            -368751.1452564244           -234127712.26842627            -69.21294751211197             851310.2722692855            1181.3023348704983            -2879.576212281022
                       11        650.0076985633364       0.4495784813535339       0.5004552300199612      0.13999382064011578     0.002870733515240801   -4.333746230975808e-06       380.19820001768846    0.0028158093343488714      0.09999318928027658      0.01011572434732661            -3.147046101920389            13057.457852426529            -16034.27607643424            -90.90088756939167            -208165.2281021974             -75162969.1096449            -217.2330505911245            -558154.1331469908            1104.9182739556188            -4528.951742525451
                       12        650.0076985633747      0.44957848135064976       0.5004552300233194       0.1399938206401048    0.0028707335198032468   -4.333746215162902e-06        380.1982000196347    0.0028158093396323794      0.09999318928024584     0.010115724348044567            -3.147046061618539            13057.457908544584           -16034.276074790627            -90.90088098131116           -208165.22065344063            -75162966.90585399           -217.23304955082727            -558154.1234706605            1104.9182573661699            -4528.951841652447
                       13        650.0076985634134      0.44957848134916134        0.500455230024805       0.1399938206400818    0.0028707335127688798   -4.333746227286962e-06       380.19820002081065    0.0028158093351122455      0.09999318928021553     0.010115724348515188            -3.147046099806593            13057.457848603215           -16034.276077066479            -90.90088808337869            -208165.2286730847            -75162969.22532164           -217.23305049410223            -558154.1323464361             1104.918274753108            -4528.951733792697
                       14        650.0076985634845      0.44957848134296713       0.5004552300321652      0.13999382064006308    0.0028707335114023813   -4.333746215002112e-06        380.1982000250854    0.0028158093329546424      0.09999318928006867     0.010115724349858492            -3.147046099899781            13057.457851231859           -16034.276075666528            -90.90088788149617           -208165.22800494585            -75162968.70120654           -217.23305068983478            -558154.1344185084             1104.918273833945            -4528.951739611801
                       15        650.0076985637099      0.44957848132416006        0.500455230054693      0.13999382064003157     0.002870733516351522  -4.3337462335239365e-06         380.198200038551    0.0028158093320598972      0.09999318927961197      0.01011572435385323            -3.147046100575997            13057.457852235279           -16034.276075597467            -90.90088758836714           -208165.22801912721            -75162969.14077365           -217.23305048717393            -558154.1331650957            1104.9182729316221            -4528.951738819628
                       16        650.0076985632274       0.4495784813497232       0.5004552300245286      0.13999382064013574     0.002870733515267305    -4.33374623098552e-06         380.198200017631    0.0028158093343598673       0.0999931892803962     0.010115724347221893           -3.1470461019311733            13057.457852201334           -16034.276076291171            -90.90088758481859           -208165.22810093872            -75162969.10939468           -217.23305059150013            -558154.1331450448             1104.918273961027             -4528.95174249634
