                   sim_nr                        h                    alpha                     data                    Costf
                        1                    650.0                     0.45        444.5211162408123        444.5211162408123
                        2        650.0000001376449       0.4499999783954915       444.52104851548967       444.52104851548967
                        3        651.4057643935947       0.2293534726890718        79.55451445490817        79.55451445490817
                        4        651.4057636257853      0.22935347216653376         79.5545139403106         79.5545139403106
                        5        520.1527632218119      0.14002833187887936        41.06783032124053        41.06783032124053
                        6        520.1527620614327      0.14002833246819413         41.0678296117341         41.0678296117341
                        7        402.0652456607679      0.20000071374296952       2.3846846447706045       2.3846846447706045
                        8       402.06523683545595      0.20000069024005493       2.3846827149363357       2.3846827149363357
                        9        399.6678333096594      0.19361610342210978         2.12214374419169         2.12214374419169
                       10        399.6678268714317      0.19361610411639296        2.122143198299384        2.122143198299384
                       11        349.7341785170344      0.19900083037447203     0.006440284966037299     0.006440284966037299
                       12       349.73417852645207       0.1990008303984459    0.0064402846518872795    0.0064402846518872795
                       13       350.11966422485756      0.19998213483053723    1.255359036229733e-05    1.255359036229733e-05
                       14       350.11965328233106      0.19998215592573976   1.2549797323628067e-05   1.2549797323628067e-05
                       15         350.111500530291      0.19999787295012816   1.1137745476055867e-05   1.1137745476055867e-05
                       16        350.1114994999274      0.19999787296974475   1.1137539637253901e-05   1.1137539637253901e-05
                       17       349.99999721727386       0.1999999958080545   1.2753859066794778e-13   1.2753859066794778e-13
                       18        349.9999984128334       0.2000000279356348     4.69275043884071e-12     4.69275043884071e-12
                       19        349.9999973831618      0.20000000026586523    5.887970271680228e-15    5.887970271680228e-15
                       20        349.9999973831618      0.20000000026586523    5.887970271680228e-15    5.887970271680228e-15               
 finished
