                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                    FracH         obs_sca_cf_CO2mh                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta             Costf_grad_gammaq                Costf_grad_CO2             Costf_grad_advCO2                Costf_grad_z0m                Costf_grad_z0h              Costf_grad_FracH   Costf_grad_obs_sca_cf_CO2mh
                        1                    650.0                     0.45                      0.5                     0.14                    0.005                   -3e-06                    380.0                    0.006                      0.1                     0.01                      0.6                      1.0             60.55850756563698             67263.56375381137            -20980.33839907126             6936.827292356134            2649583.6818333967            448372406.11982375             2500.598021086686            19535125.867846053            -23212.28648491484           -100231.46394513786             880.5766845541198            -700226.6069592604
                        2        649.9999992107004       0.4499999999489205       0.5000000107380025      0.13999999999878368     0.004999996572360145  -3.0000000002297124e-06        379.9999995350789     0.005999974678023856      0.10000000003597401     0.010000000130958062       0.5999999999988721       1.0000000035874348             60.55841809169219             67263.49954248365           -20980.323312172317             6936.819689738245             2649581.467377858             448372019.1020546            2500.5943870715137             19535091.47571574            -23212.25727621652           -100231.37361660962             880.5774238175889            -700225.6060906207
                        3        649.9999998762659      0.44999999997665346       0.5000000063604908      0.13999999999954282     0.004999998199386571    -3.00000000011706e-06        379.9999999206493     0.006000000146908864      0.10000000001016739     0.010000000063874236       0.5999999999983223       1.0000000006615497             60.55851024568699             67263.56772211971            -20980.33708845567             6936.827780927145             2649584.731932357             448372570.9593467             2500.598003427065             19535125.72714237            -23212.28571318104           -100231.47104398436             880.5767380142643            -700226.6020985851
                        4        649.5466729482908       0.4499706629507636       0.5061672731387379      0.13999930141471073     0.003031366505580725  -3.0001319331630483e-06        379.7329768342103    -0.008543444611927638      0.10002066133590211     0.010075214561367249       0.5999993522278261       1.0020604102715962             7.550772345092467            25870.601505348855            -14334.84466405624             2176.087175693944             192365.3528856828            18052281.320825152             402.9994902290414           -317323.47753019707            -6832.670418761071             -37718.3440919225            1417.5241122134428           -122640.81042001426
                        5        649.5466694154919       0.4499706622455281       0.5061675365077907      0.13999930140101374     0.003031357572420204  -3.0001319334950484e-06        379.7329741445304     -0.00854342984655787      0.10002066171602324     0.010075216330423029       0.5999993521626517       1.0020604328265097             7.550825912708118            25870.637607634246            -14334.84028222697             2176.091762187951            192367.86638827596            18052415.087719154            403.00107630977857            -317307.8207332461            -6832.680968213641           -37718.394277851476            1417.5252230312872            -122641.2470557522
                        6        649.5466557621924      0.44997065981081014       0.5061684133285542        0.139999301353021    0.0030313191877920634  -3.0001319347857216e-06        379.7329643644206    -0.008543433079964058      0.10002066303241756     0.010075222429504144       0.5999993519405329       1.0020605142270986             7.550809091049537              25870.5848974684           -14334.810616076424             2176.087608857269             192359.4408616049             18049856.09359741             402.9987037309396           -317328.13387112814            -6832.659377403347            -37718.28588828113            1417.5314396320464           -122640.59454015188
                        7        649.5466574170387       0.4499706608870445       0.5061679245242114      0.13999930137177952    0.0030313724530999617   -3.000131927257594e-06       379.73296881714015    -0.008543442993933215      0.10002066239501056      0.01007521947179722       0.5999993519808005       1.0020604773112989             7.550762249318784            25870.607359279842           -14334.823946447626             2176.088668760227            192365.96312101692             18052547.06413864             402.9993388053263            -317323.5719016688            -6832.670784816326            -37718.34481649266            1417.5261073825927           -122640.76892989612
                        8        649.5466662970831      0.44997066167238753       0.5061671930382996      0.13999930138063563     0.003031366596187968  -3.0001319301076006e-06        379.7329735709946      -0.0085434433891308      0.10002066189530834     0.010075217095171115       0.5999993519658468       1.0020604384945786              7.55077187660311             25870.60002705938            -14334.84732329904             2176.086857390562            192365.36775734398             18052284.56577484            402.99944020420867            -317323.3885093023           -6832.6694294879735            -37718.33002524929            1417.5236825020424           -122640.79518370217
                        9        649.5466595878755       0.4499706601878082       0.5061671430814734      0.13999930134265534     0.003031362531234039   -3.000131926597453e-06       379.73297134467003    -0.008543459750826305      0.10002066235053811     0.010075217348282891       0.5999993516759231       1.0020604585883492             7.550708220536485            25870.541325858387           -14334.844004702929            2176.0802197947437             192359.6721422501            18051230.288043026             402.9968649037307           -317347.39556405006            -6832.649907092433             -37718.2343214299             1417.524367804222            -122640.0855461976
                       10         602.302553719972        0.441807210633777       0.9899737416597798      0.13979735238277255    0.0009483522222203354   -2.981277736285959e-06       355.47092435777535    0.0010228795902137685      0.10379824539278214      0.02730031590322564       0.5985602256311231         1.20900440070685           -11.480784852979216            -21331.51435257959            -6030.164120378209           -2466.7345798529423           -23008989.744943757            -4588067307.399973           -48.867044232052805            -319983.9624170536            4062.5973240553135            17427.982356775297            3198.2839880445085            12050.630572853002
                       11        625.9246133341314      0.44588893679227026       0.7480705073992588      0.13989832689874165      0.00198985936390053  -2.9907048347245037e-06        367.6019505959929   -0.0037602825108569334      0.10190945336434212     0.018687765232296445       0.5992797889294745        1.105532405489223             4.458223665980638            20923.332868308506            -8301.298328447689            1922.2680483511156            -422088.5504881579            -174924431.6912482            190.65117486765556            -199517.5939125266            -3624.775808970303           -16450.877758552037            2089.2564543153107           -60309.590690270445
                       12        614.1135835270517      0.44384807371302365       0.8690221245295184      0.13984783964075712    0.0014691057930604325  -2.9859912855052314e-06        361.5364374768841   -0.0013687014603215837      0.10285384937856212      0.02299404056776104       0.5989200072802988       1.1572684030980365            0.4367018982895555            11856.110128048973            -6177.822694558949             1133.907404815311           -2673256.2983046444            -687859765.1060971             77.20778361229651           -204634.23977306526           -1053.8503334783193            -6307.408283237282            2499.2987520624242           -26478.162992962218
                       13        614.1135825116461       0.4438480732431065       0.8690221411650185       0.1398478396294239    0.0014691060722139817   -2.985991270362957e-06       361.53643682013774   -0.0013687012050028194      0.10285384948092806      0.02299404105015767       0.5989200071187326        1.157268408673366           0.43670364823194463            11856.116327023046            -6177.821898235131             1133.908044306089             -2673253.70638258            -687859224.4729933             77.20779375528517            -204634.0425964382           -1053.8512508102874            -6307.413603800261             2499.298643650406            -26478.16570602386
                       14        614.1135830361347      0.44384807319552066        0.869022130003879      0.13984783962801484    0.0014691057899112363   -2.985991281763149e-06       361.53643732224066    -0.001368701396845153      0.10285384943184722      0.02299404080850278        0.598920007136062       1.1572684044906218            0.4367018080760955            11856.109932468176            -6177.822590524047            1133.9073904915672           -2673256.3308888315            -687859772.5204695             77.20778093891866           -204634.23632741577           -1053.8502801919522            -6307.408098909204             2499.298760191321           -26478.162174100507
                       15        614.1135835661611       0.4438480732781776       0.8690221255998356      0.13984783962956412    0.0014691057942378682   -2.985991282448252e-06       361.53643749337266   -0.0013687014701640882      0.10285384941499805     0.022994040846550365       0.5989200071451681       1.1572684029683036           0.43670189129626763            11856.110084023201            -6177.822675332108            1133.9074007037682             -2673256.29755089            -687859764.8321694             77.20778314296842           -204634.24630125085           -1053.8503261614821             -6307.40818126029             2499.298746894045            -26478.16285943333
                       16        614.1135838553861       0.4438480730691275       0.8690221251163592       0.1398478396234769    0.0014691057928611301   -2.985991280124391e-06        361.5364375120678   -0.0013687014562854096      0.10285384939369557     0.022994040706120822        0.598920007059653       1.1572684030139468           0.43670194236152504            11856.110095896962             -6177.82268576706            1133.9074019821016            -2673256.297559037            -687859764.8131564              77.2077852424701           -204634.22687258167           -1053.8503350174658            -6307.408232459319            2499.2987439139824           -26478.163439827727
                       17        617.7250977345411       0.3369820618332035       1.2544720646288976      0.13707881262586813    0.0018802619148053394  -2.1637487084001873e-06        358.6781840938477    0.0005121323658642089      0.11001203176557259      0.07236213704084582       0.5651142908658201        1.198192188587688            0.7159380002879039             3496.023158820203            1216.8264713363963             484.5871637022529           -1028468.2452582303            -319611284.3350189            46.450139284977546            300992.82878628117            27.357864569079933            -950.8597237382088             1753.379644077212           -12451.324900000684
                       18        617.7250975218894        0.336982061006881        1.254472064679982      0.13707881260747448     0.001880261922584683   -2.163748700404485e-06       358.67818408440456    0.0005121323539003372       0.1100120318137386      0.07236213737430552       0.5651142906004581       1.1981921886091758            0.7159379705956769             3496.023123480665            1216.8264836101769             484.5871602262211           -1028468.2320461035           -319611280.47929394             46.45013738797702            300992.81204321736            27.357868593928917            -950.8597123602141            1753.3796321670413           -12451.324364339212
                       19        617.7250977438147       0.3369820611893176       1.2544720636862952      0.13707881261202587    0.0018802619193420242   -2.163748701957626e-06       358.67818409887093    0.0005121323717576821      0.11001203179171065      0.07236213729072416       0.5651142906476048        1.198192188600604            0.7159380353195824             3496.023160352012            1216.8264673536949             484.5871628733558           -1028468.2325736637           -319611280.95869493            46.450140188675874             300992.8376344728            27.357859352849562             -950.859724092667             1753.379631270785           -12451.325151603156
                       20        617.7250973616577        0.336982061568271       1.2544720628085404      0.13707881262231095    0.0018802619146031162  -2.1637487071925186e-06        358.6781840825143    0.0005121323693440209      0.11001203176948084      0.07236213707837932       0.5651142908002255       1.1981921886538678            0.7159379911436213             3496.023141604432             1216.826448692507            484.58716197185134           -1028468.2499303904           -319611285.16054934             46.45013889115215            300992.82732222485            27.357870129499467            -950.8597154479332            1753.3796380708923             -12451.3248050796
