                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                    FracH         obs_sca_cf_CO2mh                 backgr_grad_h             backgr_grad_alpha           backgr_grad_sca_sto                backgr_grad_wg        backgr_grad_gammatheta            backgr_grad_gammaq               backgr_grad_CO2            backgr_grad_advCO2               backgr_grad_z0m               backgr_grad_z0h             backgr_grad_FracH  backgr_grad_obs_sca_cf_CO2mh                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta             Costf_grad_gammaq                Costf_grad_CO2             Costf_grad_advCO2                Costf_grad_z0m                Costf_grad_z0h              Costf_grad_FracH   Costf_grad_obs_sca_cf_CO2mh
                        1         930.967913204379       0.4831681561859932       0.2820090402041051      0.15847987530357044     0.006818080921717162   4.2683100434943636e-06       284.16957296867054     0.002990591527334141      0.16462942175522527       0.0120150063672609       0.5686573635236193       1.2316137291713485                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0            -9.838096866166277             8202.707035538844           -19929.352629499972           -401.00259542662343            -267903.6585212733            -20042618.86402346            -975.7224763084973            -5589905.169352168            2974.3188604993425           -1968.5512771588742             71.39237604347818             271825.7791822804
                        2        930.9679136458153       0.4831681561645488       0.2820090753192499       0.1584798753038125     0.006818082119164255    4.268310043529714e-06        284.1695733185419    0.0029906163228892897       0.1646294217374368      0.01201500637615079       0.5686573635233045         1.23161372320231        2.2071816374591438e-11       -1.9061690497639776e-09         3.121346203727171e-08        2.1516122217235534e-11         0.0002660993541640942         7.855571782380215e-06        2.7989708542008887e-10           0.03213503947260138       -3.5576930290659443e-09        1.7779777650162032e-07        -1.573741137406159e-11       -1.3264529721526387e-07            -9.838045904649825             8202.765333341713           -19929.363790143194            -400.9974829185118            -267901.7270538651           -20042301.529960595            -975.7189569876684            -5589871.839725129            2974.3006632272545           -1968.6203129274015             71.39204512500619             271824.8079836333
                        3        930.9679132619111       0.4831681561385385      0.28200907894397353       0.1584798753032914     0.006818080665866122    4.268310043435142e-06       284.16957310755686    0.0029905914705439384      0.16462942175573533     0.012015006429066175       0.5686573635235492       1.2316137267674414        2.8766066861862784e-12        -4.218196162734481e-09         3.443543859936603e-08       -2.4802382370125997e-11       -5.6855786668203516e-05       -1.3160256786718146e-05        1.1110905688838102e-10        -7.360010276236117e-05         1.020128426176825e-10        1.2361054887999323e-06       -3.5027536426923685e-12        -5.342015718667881e-08            -9.838096905383315             8202.707771171401           -19929.350944743703            -401.0024608005794            -267903.6663833556           -20042619.539401043            -975.7224726486178            -5589905.171730913            2974.3188882031814            -1968.551194804939             71.39253622454194             271825.7778439567
                        4        930.9679133013897       0.4831681560953266      0.28200903900822816       0.1584798753018772      0.00681808117470561    4.268310043440098e-06       284.16957311683973     0.002990591425249865      0.16462942175326714     0.012015006437924495       0.5686573635118527         1.23161372671643        4.8505341965210394e-12        -8.059252031166073e-09       -1.0630017360174153e-09       -1.5050923470501704e-10         5.621965528143955e-05       -1.2058925725743722e-05        1.1853535397676753e-10       -0.00013230122160312607        -3.916256208214008e-10        1.4132718953452361e-06        -5.883293852093629e-10        -5.455374423806663e-08             -9.83809678651448             8202.707163103376           -19929.352657114046            -401.0025867901323            -267903.6482785218           -20042617.905188557             -975.722471933753            -5589905.170175605            2974.3188111280247           -1968.5515009393687             71.39237110953093             271825.7779129267
                        5         930.967913376457       0.4831681558602264       0.2820090286599193      0.15847987529738358     0.006818079847792912    4.268310043240569e-06        284.1695733920644    0.0029905913405232614      0.16462942176126857     0.012015006648487194       0.5686573634827485       1.2316137222652632         8.603899459558306e-12        -2.895704910422915e-08       -1.0261498515104803e-08        -5.499428073423789e-10        -0.0002386498333056202        -5.639884175998033e-05        3.3871510822791606e-10       -0.00024210690009046631        1.2086609491035458e-09         5.624525879766029e-06        -2.043537561391417e-09       -1.5346856131594046e-07            -9.838097071639138             8202.706164883504            -19929.35320602612           -401.00269181639425            -267903.7042921619           -20042623.114487708            -975.7224633745793            -5589905.167565722            2974.3189699840304           -1968.5502797334188             71.39231156657398             271825.7755057504
                        6         937.762897803651         0.47559478883662        0.777989838835655      0.15834772227320149     0.004968828864011667   4.2627787914159244e-06        296.6932402917684   0.00013523837994492988       0.1645988054098305     0.018557616708260463       0.5677875101856558       1.0233075455463319        0.00033974922996359854           -0.6731882088331729           0.44087182100582206          -0.01174693603279585            -410.9449017123322           -1229.1671285420284          0.010018933858478294           -3700.5376790164178         -0.006123269078955883            130.85220681999127         -0.043492666898176095            -4.629026302778147            0.4662493684462659            23002.221938506755            -7789.925161768898            1161.4031140366371             60787.79365355917            34915545.017670915            -8.453137807165712            48627.965814272924           -1624.7495236781454            -17553.23121876773            1342.5860392933635            -2597.616749861528
                        7        937.7628971354567       0.4755947869159429       0.7779902772270102      0.15834772225080965     0.004968820185974617    4.262778789449027e-06       296.69324038857997   0.00013523149052070173      0.16459880572018998       0.0185576192400878       0.5677875099965759        1.023307547368197         0.0003397491965538848           -0.6731883795600228            0.4408722106870267         -0.011746938023181485            -410.9468301650098           -1229.1675656304167          0.010018933935927544           -3700.5466077102174         -0.006123207007058261              130.852257456538          -0.04349267635216924            -4.629026262292256            0.4662339489950232            23002.203893727234            -7789.915853325709            1161.4017990342668             60787.13985434974            34915467.627474554            -8.454207038945441              48617.8303149074           -1624.7438152968198           -17553.219251614133            1342.5869726560404           -2597.3210282494156
                        8        937.7628923169277        0.475594769679734       0.7779942015390073      0.15834772205028994     0.004968747033208464    4.262778771951805e-06        296.6932419300902   0.00013524776845819184       0.1645988084591242      0.01855764197497478       0.5677875082844932       1.0233075524718962        0.00033974895562743657            -0.673189911667481            0.4408756989643575          -0.01174695584715588            -410.9630863352662           -1229.1714539018444           0.01001893516913574             -3700.52551150323         -0.006122659220214598             130.8527121542776          -0.04349276195630413            -4.629026148876717            0.4662673142289716            23002.226856508336            -7789.850084840217            1161.4034134552821             60788.76195623486             34915970.80258939            -8.452780890567656             48631.48486441491           -1624.7525098547028            -17553.27382185407             1342.593157438872            -2597.708887469649
                        9        937.7628940975505       0.4755947847669242       0.7779901485890601       0.1583477222260904    0.0049687965304349895   4.2627787841008784e-06        296.6932406673717   0.00013524074267194782      0.16459880608694621     0.018557622877870297       0.5677875096325271       1.0233075459306686        0.00033974904465857776           -0.6731885705839108            0.4408720963421822         -0.011746940220448544            -410.9520869515938           -1229.1687541078038           0.01001893415896093           -3700.5346169222025         -0.006123133655810963            130.85233021218792         -0.043492694554608795            -4.629026294237329           0.46625511252239754            23002.221316038613            -7789.920102130557            1161.4027903184488            60788.062327079875             34915720.78306602            -8.453135909617787             48627.95061986857           -1624.7485548977613           -17553.228319817645            1342.5859481067077           -2597.6167705421626
                       10         936.953732973768      0.47279210257932747       1.4163148222516977      0.15831510759299716    -0.007029021910857533    4.259930314577596e-06        296.9292472611499     0.001081261413180285      0.16504517558199827     0.022254103926098577       0.5675094503598916       1.0243823261220075         0.0002992909884694484           -0.9223158761480634            1.0082718062645266         -0.014646018717624621           -3077.1339627943767           -1862.1619815038698          0.010207739433983488           -2474.4918279433978            0.0831507653546004            204.78195117675352          -0.05739565818638214            -4.605142289985355             8.491521483236944             38539.99972958846           -291.73249342624166            1939.5349963162716             960821.8673903743             167300193.1823896              172.633733306973             1929895.035726574           -11613.605294433968            -36534.64769640169             2020.102852499412           -49486.277113153534
                       11        932.9079088243531      0.45877867129286476        4.607939739331911      0.15815203419197552     -0.06701827578520353    4.245687930385954e-06        298.1092821080574     0.005811376579357059      0.16727702644283718      0.04073654001528915       0.5661191512310706       1.0297562290003854          9.69997809987035e-05            -2.167954212722526            3.8452717325580497         -0.029141432141770944           -16408.079268204598           -5027.1362463132655          0.011151767311509502            3655.7374274217013            0.5295209375223818              574.430672960565          -0.12691061462743455            -4.485722226021401                34.76257177213             43985.54405003328               6595.0914425205            1046.8771227622833              699748.792127764            122892139.20375274             961.3521847674338             9128582.156204266            -52585.12807617884             42019.50166112401            3107.0580334382958            -223931.7622285328
                       12        934.9308208990604       0.4657853869360961       3.0121272807918045      0.15823357089248632     -0.03702364884803053    4.252809122481775e-06        297.5192646846037    0.0034463189962686725       0.1661611010124177     0.031495321970693865       0.5668143007954811       1.0270692775611965        0.00019814538473407313            -1.545135044435295             2.426771769411288         -0.021893725429699015            -9742.606615499488           -3444.6491139084737          0.010679753372746518             590.6227997391526           0.30633585143848835             389.6063120686593          -0.09215313640690835            -4.545432258003378            145.23289598511764            351901.44268781214              9052.55966742515            16166.207592467754              5630234.39425718              966884434.656705            509.18498564237274            5306621.2771478575           -265629.62216847594           -282633.42640101415            2820.6998163574094            -130436.9755595632
                       13        935.9422769364143      0.46928874475771176       2.2142210515217515      0.15827433924274176    -0.022026335379444033    4.256369718529685e-06        297.2242559728768    0.0022637902047244786        0.165603138297208      0.02687471294839622       0.5671618755776864        1.025725801841602         0.0002487181866017636           -1.2337254602916816            1.7175217878379079         -0.018269872073660584            -6409.870289146932           -2653.4055477062657          0.010443746403365003            -941.9345141021226           0.19474330839654438            297.19413162270644          -0.07477439729664524            -4.575287273994366            19.795672442549137             56949.97135681103            3803.8808163142708            2537.9501211663105            1109034.0119294913            191307413.73480144             382.5657139545348            3853971.8891608096           -33274.805731783454            -43771.92459167657            2516.5250393473957            -99498.40368448077
                       14         936.448004955091       0.4710404236685196        1.815267936886725      0.15829472341786946    -0.014527678645150782    4.258150016553641e-06        297.0767516170133    0.0016725258089523817      0.16532415693960315       0.0245644084372474        0.567335662968789       1.0250540639818047         0.0002740045875356032           -1.0780206682198725            1.3628967970512176         -0.016457945395642604            -4743.502125970655            -2257.783764604974          0.010325742918674224           -1708.2131710227602           0.13894703687557516               250.98804139973          -0.06608502774151369            -4.590214781989863            457.66694418487054            1137753.5130025183            27049.243017848963              59967.5661378796             37299619.87699731             6379461486.013501             43.51850518835012            1813196.6229794875            -690277.7512834412           -1173807.2660566708            2328.6717714623123            -37535.54662846744
