                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                    FracH         obs_sca_cf_CO2mh                     data               background                    Costf
                        1        983.6136590660083       0.5888792723958186       2.0869951617845315       0.3349622698547121     0.005993549037313461   -4.529534903699977e-06        334.8450540729012    0.0058384858624471155      0.19731648808643087     0.009758151879432238       0.5030144492946131       0.6672206926636151        328731.8218312502                      0.0        328731.8218312502
                        2        983.6136586981049       0.5888792723608761        2.086995162377794       0.3349622698545489     0.005993547880110035   -4.529534903774157e-06       334.84505373036194     0.005838462562313399       0.1973164881110155     0.009758151980540818       0.5030144492919493       0.6672206950276895        328731.1927726428   3.5194576382504465e-10        328731.1927726432
                        3        983.6136590463179        0.588879272378697       2.0869951619955573        0.334962269854643     0.005993548802340889   -4.529534903712377e-06          334.84505400418    0.0058384858936647065      0.19731648809231053     0.009758151927558804       0.5030144492916715       0.6672206931628345        328731.8216104084   6.7940455137887104e-15        328731.8216104084
                        4        983.2953311541546       0.5888490384321526        2.087508481002529       0.3349621286612727     0.004992280068088639   -4.529599088361881e-06        334.5486723747044    -0.014321928757952407      0.19733775989832306     0.009845635965328649       0.5030121443777065       0.6692662054671565        56924.92386629541        263.4861760296735        57188.41004232508
                        5         983.295330069595       0.5888490375734539       2.0875085028602562      0.33496212865783215     0.004992280408025911   -4.529599088340453e-06       334.54866830476766     -0.01432192114277267       0.1973377602165813      0.00984563886148388       0.5030121441999356       0.6692662355737156       56924.913572221565       263.48597699287103        57188.39954921444
                        6        983.2953155327375       0.5888490269628479        2.087508771023491       0.3349621286152298     0.004992279268493343   -4.529599088394897e-06         334.548617515293     -0.01432191273090487      0.19733776418394064     0.009845674382022556        0.503012142023282       0.6692666105891947        56924.79570559004        263.4857575537883        57188.28146314383
                        7        983.2953308638369       0.5888490376641425       2.0875084694884354       0.3349621286586363     0.004992277527980564   -4.529599088277911e-06        334.5486716495121    -0.014321928416381916      0.19733775997184644     0.009845629301291048       0.5030121442065107       0.6692662098017004        56924.92278001843       263.48616765905155        57188.40894767748
                        8        970.7116343117683       0.5779427594582387        2.271034060830204      0.33491967991190896    -0.003109334399651417   -4.529368790951624e-06       291.18508666007153   -3.169529134734641e-05      0.20077571577825626      0.01882533104785474       0.5007326225662979       0.9864591480518259        7235.210061117086       34.279233401756706        7269.489294518843
                        9        970.7116253034363       0.5779427560137904        2.271034048607522       0.3349196798984769   -0.0031093415087413987   -4.529368799603459e-06       291.18508004983977  -3.1693115458788536e-05      0.20077571736922997     0.018825332633889035       0.5007326220628238       0.9864591964668321        7235.195187158859        34.27923209913631        7269.474419257996
                       10        961.9064459592381       0.5745759856562811        2.259087007169849       0.3349065507156479    -0.010058109858201696  -4.5378255216568085e-06        284.7239198365123     0.002095125589054054      0.20233081201021763      0.02037559925346286       0.5002405020522853       1.0337823649562643        9105.806891503933       41.370551108779175        9147.177442612712
                       11        966.3090401355032       0.5762593725572599       2.2650605340000265      0.33491311531377843    -0.006583722128926556   -4.533597156304216e-06         287.954503248292     0.001031715148853354      0.20155326389423694     0.019600465150658802       0.5004865623092917        1.010120756504045        8128.063214133547         35.7337493184827         8163.79696345203
                       12        968.5103372236358       0.5771010660077494        2.268047297415116       0.3349163976128437    -0.004846528264288987    -4.53148297362792e-06       289.56979495418176    0.0005000099287530042       0.2011644898362466     0.019212898099256772       0.5006095924377948       0.9982899522779355        7447.686315250671       34.483705625923385        7482.170020876594
                       13        969.6109857677021        0.577521912732994       2.2695406791226596      0.33491803876237636    -0.003977931331970201   -4.530425882289771e-06        290.3774408071267   0.00023415731870282848      0.20097010280725142      0.01901911457355576       0.5006711075020464       0.9923745501648806        7273.156880328354        34.25077308029096        7307.407653408645
                       14        970.1613100397352       0.5777323360956164       2.2702873699764323      0.33491885933714266    -0.003543632865810809   -4.529897336620697e-06        290.7812637335991   0.00010123101367774147      0.20087290929275384      0.01892222281070525       0.5007018650341721       0.9894168491083533        7155.718906718024       34.232329132636565        7189.951235850661
                       15        969.8861479037187       0.5776271244143052       2.2699140245495464      0.33491844904975954   -0.0037607820988905067   -4.530161609455234e-06       290.57935227036285   0.00016769416619028497      0.20092150605000264     0.018970668692130502       0.5006864862681093        0.990895699636617        7406.032235355828        34.23338257936696        7440.265617935194
                       16        970.0237289717269       0.5776797302549608        2.270100697262989      0.33491865419345107    -0.003652207482350658   -4.530029473037966e-06       290.68030800198096   0.00013446258993401322      0.20089720767137825      0.01894644575141788       0.5006941756511407       0.9901562743724852       7304.9685011480415        34.23081372422755        7339.199314872269
                       17         970.092519505731       0.5777060331752886       2.2701940336197115      0.33491875676529687   -0.0035979201740807343   -4.529963404829332e-06          290.73078586779   0.00011784680180587735      0.20088505848206603     0.018934334281061567       0.5006980203426564       0.9897865617404192         7399.27879956221        34.23106089548851        7433.509860457699
                       18        970.1269147727331       0.5777191846354525       2.2702407017980715      0.33491880805121976    -0.003570776519945771   -4.529930370725014e-06        290.7560248006946   0.00010953890774180984      0.20087898388740993     0.018928278545883408       0.5006999426884143       0.9896017054243862          6863.4012693434        34.23156738082665        6897.632836724227
                       19        970.1097171392321       0.5777126089053706       2.2702173677088915      0.33491878240825834   -0.0035843483470132534   -4.529946887777173e-06        290.7434053342423   0.00011369285477384316        0.200882021184738     0.018931306413472487       0.5006989815155354       0.9896941335824028       241056.48637932527        34.23128222984861       241090.71766155513
                       20        970.1183159559826       0.5777158967704115       2.2702290347534815      0.33491879522973905   -0.0035775624334795112  -4.5299386292510935e-06       290.74971506746846   0.00011161588125782693      0.20088050253607398     0.018929792479677948       0.5006994621019748       0.9896479195033945        6933.657001096132        34.23141682826038        6967.888417924392
                       21        970.1226153643579        0.577717540702932        2.270234868275777      0.33491880164047944    -0.003574169476712641   -4.529934499988054e-06        290.7528699340815   0.00011057739449981795      0.20087974321174196     0.018929035512780676       0.5006997023951946       0.9896248124638904        6825.718638616261        34.23149011027421        6859.950128726536
