                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                    FracH         obs_sca_cf_CO2mh                 backgr_grad_h             backgr_grad_alpha           backgr_grad_sca_sto                backgr_grad_wg        backgr_grad_gammatheta            backgr_grad_gammaq               backgr_grad_CO2            backgr_grad_advCO2               backgr_grad_z0m               backgr_grad_z0h             backgr_grad_FracH  backgr_grad_obs_sca_cf_CO2mh                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta             Costf_grad_gammaq                Costf_grad_CO2             Costf_grad_advCO2                Costf_grad_z0m                Costf_grad_z0h              Costf_grad_FracH   Costf_grad_obs_sca_cf_CO2mh
                        1        698.7670201255465      0.33790227276916435        0.933948859754428      0.28700427572364906     0.006433772667167229  -1.6475456002425353e-06        417.6221724753285     0.005365737090027114       0.0294247862880022     0.005756827475539307       0.5535675748199387       1.5445421428891697                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0            5.4923795872619205            17473.779210279798           -1284.9909130888477            1148.8773353221388             385694.3873824585             80893264.26200329            139.92099585611822            3013291.6285333773            -10618.95044967763             -67464.3476857923            1759.5391400308808             -36998.3871294457
                        2        698.7670197023563      0.33790227269071993       0.9339488636423674       0.2870042757224582      0.00643376970910363  -1.6475456004875354e-06       417.62217228966733     0.005365714028762971      0.02942478637320711     0.005756827992257899        0.553567574806616       1.5445421447029968       -2.1159513607926783e-11        -6.972837122513434e-09        3.4559461465417165e-09       -1.0585606465459325e-10        -0.0006573474665828706         -5.44444544063489e-05       -1.4852894310024568e-10          -0.02988739832945897         1.704098182009339e-08        1.0334371847858792e-05        -6.661338147750938e-10          4.03072686339101e-08            5.4923028223761925            17473.729953161426           -1284.9863386902243             1148.874046413445             385691.9519280947             80892866.63058203             139.9177359694935            3013260.6713307244           -10618.888734961307            -67464.14961137487            1759.5398109617108            -36997.48449173004
                        3        698.7670202787314       0.3379022727119487       0.9339488623084318      0.28700427572278553      0.00643377152100048  -1.6475456003709902e-06        417.6221727118092     0.005365737084787313      0.02942478632520635     0.005756827846505501       0.5535675748060511       1.5445421403839477         7.659241418878083e-12        -5.085832989316764e-09        2.2702255877662636e-09        -7.675835276030638e-11        -0.0002547037220409745       -2.8545527953715463e-05        1.8918453861260788e-10         -6.79078181187176e-06         7.440829896676603e-09         7.419323887897233e-06        -6.943778885215578e-10       -5.5671600662776655e-08             5.492380000745428             17473.77938721557           -1284.9908178095332            1148.8773469700295              385694.464345128             80893276.98454992            139.92099928254174            3013291.6186433304           -10618.950084020324            -67464.34420765241             1759.539132687258            -36998.38811624323
                        4        698.7256271551194       0.3378945999850836       0.9343291457457088      0.28700415924085143     0.006144439377116566  -1.6475695641169382e-06       417.60401263504696    0.0031100751668942167      0.02943312032681656    0.0058073686101217485       0.5535662717023261       1.5447195564330587       -2.0696485213591134e-06        -0.0006820252516230122        0.00033803199224961367       -1.0354026455969586e-05            -64.29628667792518            -5.325305422868888        -1.452787222524421e-05            -2923.337852380235         0.0016668077628720355             1.010822691648837        -6.515588062971921e-05          0.003942523197533434            -2.051966174587373             12592.86345530413            -876.6704426383341             824.5486780637151             133665.4282889325             39795127.42644232           -178.99566971033295           -15345.686259183669            -4581.403322533365            -47896.81987575093             1826.610108964476             51308.24959177154
                        5        698.7256273084297       0.3378945999285363       0.9343291483910132        0.287004159239996      0.00614443909839786  -1.6475695642376629e-06        417.6040127637586    0.0031100751574273605      0.02943312036358464     0.005807368971011816       0.5535662716884904        1.544719555691516        -2.069640855842181e-06        -0.0006820302780467339         0.0003380343436313203       -1.0354102493910961e-05            -64.29634861541543            -5.325332250566967       -1.4527769255937529e-05           -2923.3378646492806         0.0016668151164883625            1.0108299094501936        -6.515657241523697e-05          0.003942506718808876           -2.0519661108852456            12592.863380940562            -876.6703848149845             824.5486723296251            133665.43415877462             39795128.32526776           -178.99566835624753           -15345.688685681156            -4581.403173577081             -47896.8167104638            1826.6100960936114            51308.249223693674
                        6        698.7257584446271       0.3378945503248436       0.9343313421558097       0.2870041584902904    0.0061441834879162925   -1.647569672913934e-06         417.604125387729    0.0031100677487744064      0.02943315185075764     0.005807668212559185       0.5535662595667042       1.5447189065538938        -2.063084045971664e-06        -0.0006864394951764138        0.00033998435678375373        -1.042074299443622e-05            -64.35315094465263            -5.349482533027709       -1.4437670079587406e-05            -2923.347466263509         0.0016731125510878462             1.016814740397564         -6.57626617217577e-05           0.00392808143831284           -2.0519079962007023            12592.801805508332            -876.6228106620865             824.5439306411799            133670.82268296083             39795961.38612024           -178.99449433162923           -15347.892393214079            -4581.274013012145            -47894.18744016506            1826.5996040242223             51307.92858022393
                        7        714.9615715230958      0.33190610348794397         1.21447332754442        0.286913563427626    -0.023372560551452124  -1.6603546158045509e-06       431.23489050855403    0.0021075117227369027      0.03332695090917186      0.04402651885620261       0.5521010333176742         1.46618837563571         0.0008097275698774638           -0.5329928249973668           0.24935508247999283         -0.008063315202052243            -6623.629604137634           -2846.4479026701256          0.010890174426580416            -4222.660076008114            0.7804329242339313              765.393827613266          -0.07332707511322199           -1.7411948278546616              9.90843596231201             24264.67944294962            3128.0352772106817            1176.8610707221837            336989.85029348504             60041228.17714978             561.6630413964999             5240800.116132918            -43263.02900336157           -18826.532128239378             943.7542176136762            -153916.1352233209
                        8        706.8435993391075       0.3349003517365138       1.0744012366450644       0.2869588613342387     -0.00861406058716778  -1.6539620899607446e-06        424.4194515718005    0.0026087934448155597      0.03138003561799421      0.02491694373316218       0.5528336525100002       1.5054539660343842         0.0004038289606780495           -0.2668374251244949           0.12484655723612123        -0.0040368346142541055           -3343.9629454077794           -1425.8866040464973          0.005437823277177586           -3572.9989641941743           0.39104986599840236            383.20232515245743         -0.036696115496925856           -0.8686261523285665             46.72519343170855             90735.07858798515            4770.2805051336045              4897.09981233345             3415055.876495846              590494898.759304            197.79948503266925            2884681.4125603074            -153563.4235068522           -121380.85966575328            1038.1265838248776           -54879.510658108295
                        9        702.7846132471134       0.3363974758607987       1.0043651911953866       0.2869815102875451   -0.0012348106050256063  -1.6507658270388413e-06       421.01173210342375     0.002859434305854888     0.030406577972405386     0.015362156171641963       0.5531999621061632       1.5250867612337213        0.00020087965607834237          -0.13375972518805648           0.06259229461418542        -0.0020235943203525705           -1704.1296160428524            -715.6059547346595         0.0027116477024761937            -3248.168408287205            0.1963583368806372            192.10657392205312         -0.018380635688775012            -0.432341814565519             68.72840885370101            108960.46565761162             5632.264850055502             6381.222463110796            10258983.913984552             1764981426.232559           -61.831621266533176             991040.0910800303           -111492.80407603967            -215891.0119308109            1273.6251508636158             16323.78456079787
                       10        704.8141062931105      0.33564891379865625       1.0393832139202246       0.2869701858108919     -0.00492443559609669  -1.6523639584997928e-06        422.7155918376121     0.002734113875335224     0.030893306795199797     0.020139549952402067       0.5530168073080817       1.5152703636340528         0.0003023543083781988          -0.20029857515627567           0.09371942592515253         -0.003030214467303338           -2524.0462807253152           -1070.7462793905547         0.0040747354898268895           -3410.5836862406895            0.2937041014395194             287.6544495372552         -0.027538375592850436           -0.6504839834470427            23.486835410669613             48641.95064254166             2256.213523228068            2686.0407801519837            2114994.0135798347             368920073.3745462            116.61922520642682            2315575.9425026397            -67651.04993298395            -75518.91786442812            1108.4000334422938           -31308.849223692505
                       11         703.799359770112       0.3360231948297275       1.0218742025578056       0.2869758480492185    -0.003079623100561147   -1.651564892769317e-06        421.8636619705179     0.002796774090595056     0.030649942383802593     0.017750853062022016       0.5531083847071224        1.520178562433887         0.0002516169822282734          -0.16702915017216607           0.07815586026966898         -0.002526904393827954           -2114.0879483840836            -893.1761170625837          0.003393191596151519           -3329.3760472639474           0.24503121916007867             239.8805117296542         -0.022959505640812724           -0.5414128990062809             19.97525850075253             42051.47197354103            1750.3398752664907            2361.7301264085677            2129932.3322728383             372810971.2660565             60.36811400533894            1909908.8044790942           -50826.527787027946            -71686.73236108405            1160.9551286957544           -15563.600389972777
                       12        703.2919865086127       0.3362103353452631        1.013119696876597      0.28697867916838177   -0.0021572168527933767  -1.6511653599040791e-06        421.4376970369708     0.002828104198224972     0.030528260178103988     0.016556504616831988       0.5531541734066427       1.5226326618338042         0.0002262483191533079           -0.1503944376801088           0.07037407744192799        -0.0022752493570927295            -1909.108782213468            -804.3910358986216         0.0030524196493138334           -3288.7722277755756           0.22069477802035758            215.99354282585364         -0.020670070664796644          -0.48687735678589994            138.09932567758867            214085.32117150436            11562.590780594554            12376.152109862727            17443156.865728248            2991160294.2031813            -55.93632505971239            1103382.4515136548            -259536.9712975455            -405200.6263631505            1231.1359551975868            11822.879152443675
                       13        703.0382998778631       0.3363039056030309       1.0087424440359918      0.28698009472796343   -0.0016960137289094923  -1.6509655934714602e-06        421.2247145701973      0.00284376925203993     0.030467419075254687     0.015959330394236977        0.553177067756403       1.5238597115337629        0.00021356398761582796          -0.14207708143408265           0.06648318602805671          -0.00214942183872265           -1806.6191991281603            -759.9984953166405          0.002882033675895036           -3268.4703180313904            0.2085265574504974            204.05005837395342         -0.019525353176785828          -0.45960958567570703             18.28327030517151            38601.357820896745            1476.5412962800733            2205.4172073213554             2359395.345951675             414596949.3167223             8.377452648862002            1515667.8215783366            -39807.43784869228            -71201.14626356978            1217.7386738542657            -1102.183989872028
                       14        702.9114565624882       0.3363506907319148       1.0065538176156892      0.28698080250775426   -0.0014654121669675493  -1.6508657102551505e-06        421.1182233368105     0.002851601778947409     0.030436998523830038      0.01566074328293947       0.5531885149312831        1.524473236383742        0.00020722182184708233          -0.13791840331106955           0.06453774032112106        -0.0020865080795376104           -1755.3744075855063             -737.802225025603         0.0027968406891855924            -3258.319363159298           0.20244244716556764            198.07831614800324          -0.01895299443278042            -0.445975700120613             35.83599766721072            63300.479060312246             2932.183545152381             3665.534134206856             4984907.597726722             864273699.7466389           -22.891279987665893            1277670.7962480404            -65780.99183584191           -121574.43086920834            1240.5933781113538             6851.520962570203
                       15        702.8480349048008      0.33637408329635676       1.0054595044055379      0.28698115639764965   -0.0013501113859965778  -1.6508157686469961e-06        421.0649777201171    0.0028555180424011486     0.030421788248117712     0.015511449727290716       0.5531942385187231       1.5247799988087318        0.00020405073896271234          -0.13583906424956302           0.06356501746765324        -0.0020550511999475577           -1729.7520118141792            -726.7040898801783           0.00275424419583087            -3253.243885723251           0.19940039202310242             195.0924450350282          -0.01866681506078049          -0.43915875734306353             51.26070227715086             84823.71159171472              4202.23188616526             4942.423472860249             7393224.111653162            1275803798.0379226           -42.018441436339046            1136324.6274688079            -87819.94335814548            -165767.6314401896             1255.947335633661            11532.033580738136
                       16        702.8163240759571      0.33638577957857774       1.0049123478004613      0.28698133334259734   -0.0012924609955110916  -1.6507907978429186e-06        421.0383549117704    0.0028574761741280183     0.030414183110261547     0.015436802949466338       0.5531971003124432       1.5249333800212266        0.00020246519752053019          -0.13479939471880975           0.06307865604091854        -0.0020393227601525313           -1716.9408139285158            -721.1550223073954          0.002732945949153509            -3250.706147005228           0.19787936445186946            193.59950947854063         -0.018523725374774976          -0.43575028595429127             21.72386356603624            43106.854823167465            1738.3915712625087            2486.9392680825003            3069426.1329670446             537120435.5645889           -16.762895074731443            1319227.8343489093            -42158.66000710294             -82146.7758455015            1244.0982297640205             5720.052976894532
                       17        702.8004686615352       0.3363916277196882       1.0046387694979249      0.28698142181507125    -0.001263635800268349  -1.6507783124408798e-06        421.0250435075971     0.002858455239991453      0.03041038054133347      0.01539947956055415       0.5531985312093032        1.525010070627474        0.00020167242679943343           -0.1342795599534331           0.06283547532755276        -0.0020314585402500837            -1710.535214985684            -718.3804885210039         0.0027222968258148743           -3249.4372776462164           0.19711885066625368            192.85304170029687         -0.018452180531774994          -0.43404605025990267            106.12818379968206            161473.94855558762              8793.75901951725             9487.077061092983            16083235.904606203             2756382625.510546           -144.37179119638733            336111.06402207015           -166804.18477965074            -321722.6229261321            1347.8153171860965            37660.875988503365
                       18        702.8083963687462        0.336388703649133        1.004775558649193       0.2869813775788343   -0.0012780483978897215  -1.6507845551418993e-06        421.0316992096838     0.002857965707059736     0.030412281825797506     0.015418141255010245       0.5531978157608731       1.5249717253243502        0.00020206881215998465          -0.13453947733612143           0.06295706568423566        -0.0020353906502013075           -1713.7380144571002            -719.7677554142232         0.0027276213874842144            -3250.071712325722           0.19749910755906122            193.22627558941878          -0.01848795295327776           -0.4348981681070994            -616352.9855941023            -867383892.0420576            -50352262.14186478            -51193300.44763375             -92523303427.0883           -15775141436822.977             87594.08275088086            115094370.86908072             938490806.0950136            1753846744.9643548             3268.334631403388             351167.2701297079
                       19        702.8044325151408       0.3363901656844106        1.004707164073558      0.28698139969695274   -0.0012708420990790352  -1.6507814337913897e-06        421.0283713586404    0.0028582104735255945      0.03041133118356549     0.015408810407782197       0.5531981734850882       1.5249908979759121        0.00020187061947971188          -0.13440951864477726           0.06289627050589343        -0.0020334245952281626            -1712.136614721392            -719.0741219676371         0.0027249591066495216           -3249.7544949859694            0.1973089791126578             193.0396586448578         -0.018470066742526377          -0.43447210918350104           -1179.6336105120276            -1647513.399342835             -96150.3868241495             -97277.9351914409           -176612572.25953215            -30109757026.04381            -55.01153882729637           -210776.54238478869            1789821.9901855367             3337719.102653603            1468.1008149660165             64174.33672057348
                       20        702.8024505883379       0.3363908967020494       1.0046729667857406      0.28698141075601197   -0.0012672389496736916  -1.6507798731161349e-06       421.02670743311876    0.0028583328567585234     0.030410855862449477     0.015404144984168174       0.5531983523471956        1.525000484301693         0.0002017715231395698           -0.1343445392991052           0.06286587291672231        -0.0020324415677415906            -1711.335914853538             -718.727305244344         0.0027236279662321977           -3249.5958863160936            0.1972139148894554            192.94635017257735          -0.01846112363715346          -0.43425907972170186            -95.92202942953193           -122780.09320895144            -7675.232226440045            -7287.948521697406           -14139370.896630818           -2399596540.1964173            -149.2277960695479             91566.28771517902            140827.73283395972            253477.99466266265            1387.6159997059426             47050.65395581007
