                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                    FracH         obs_sca_cf_CO2mh                 backgr_grad_h             backgr_grad_alpha           backgr_grad_sca_sto                backgr_grad_wg        backgr_grad_gammatheta            backgr_grad_gammaq               backgr_grad_CO2            backgr_grad_advCO2               backgr_grad_z0m               backgr_grad_z0h             backgr_grad_FracH  backgr_grad_obs_sca_cf_CO2mh                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta             Costf_grad_gammaq                Costf_grad_CO2             Costf_grad_advCO2                Costf_grad_z0m                Costf_grad_z0h              Costf_grad_FracH   Costf_grad_obs_sca_cf_CO2mh
                        1                    650.0                     0.45                      0.5                     0.14                    0.005                   -3e-06                    380.0                    0.006                      0.1                     0.01                      0.6                      1.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0             60.27273901296162             67797.53804892757           -20644.632149260382             6903.976609957848              2645289.18767925             442402075.7692749             2492.884022383709            19462721.462496478           -23248.259311388225           -100841.17605293024             880.5766845541075            -698981.5553069869
                        2        649.9999992115365      0.44999999994832574       0.5000000106050315      0.13999999999878499     0.004999996565333756   -3.000000000227487e-06       379.99999953480904     0.005999974679120272      0.10000000003616223     0.010000000132239109        0.599999999998868       1.0000000035942225        -3.942317334804102e-11         -4.59326897504929e-09         9.426694684104101e-09       -1.0800249583553523e-10        -0.0007632591653613149       -5.0552620358031146e-05       -3.7215277188806796e-10          -0.03281586012751636         7.232445198290804e-09         2.644782171046245e-06       -5.6599169795390474e-11         7.987161056001291e-08              60.2726495466138             67797.47390695945           -20644.617182650352             6903.969020602556            2645286.9756951733            442401686.35300285             2492.880388508588            19462687.039076798            -23248.23009577894           -100841.08546374366             880.5774234017422            -698980.5524969301
                        3        649.9999998764199       0.4499999999759979       0.5000000062666103      0.13999999999954207     0.004999998188856542  -3.0000000001142297e-06        379.9999999199977     0.006000000147483255      0.10000000001037522     0.010000000065033383       0.5999999999983188       1.0000000006654424        -6.179004685691325e-12        -2.133522987908994e-09        5.5703203037814495e-09        -4.070571040731213e-11       -0.00040247632406626495       -2.5384353937176455e-05        -6.400182428478729e-11        0.00019113829818895312        2.0750429152727175e-09        1.3006676638505077e-06        -8.406053630949371e-11        1.4787608175007941e-08            60.272741698954455              67797.5420395611           -20644.630839766916             6903.977102042564             2645290.243074285            442402239.81619847            2492.8840045810416            19462721.320780057            -23248.25854047512           -100841.18318847417             880.5767378281729            -698981.5503963078
                        4        649.5492064145751       0.4499704558970836       0.5060632876307309      0.13999930533056096    0.0030362747971598505   -3.000130062644788e-06       379.73403318099776    -0.008476879598124666      0.10002067527263446     0.010075605968879795       0.5999993527938791       1.0020549494389934       -2.2539679271244496e-05         -0.002626142481456897          0.005389589005094169        -6.174839458269095e-05            -436.3833784089221            -28.90280995287799       -0.00021277345520179553           -18762.035959169567           0.00413505452689089            1.5121193775959052        -3.236030604591988e-05           0.04566554308874278             7.517609661060062             26664.14422386456           -14103.986261724458            2175.7995620930474            208525.57762716754            12956559.124852376            404.93120067518885           -316965.08667632425            -6941.209323066752           -38520.497655844265            1414.3291037837348           -122900.55697678673
                        5        649.5492029213664       0.4499704551751912       0.5060635449847037      0.13999930531695948    0.0030362651798220837   -3.000130062881442e-06         379.734030496923    -0.008476864950378618      0.10002067565615085     0.010075607763192157       0.5999993527292967       1.0020549718869727       -2.2539853931681367e-05        -0.0026262066496733163          0.005389817764181101        -6.174960360322896e-05           -436.38551559509256           -28.902862542612585        -0.0002127756024615792            -18762.01697569069         0.0041351312301679535            1.5121552638431428        -3.236353516289369e-05          0.045666041932726185             7.517663065584722            26664.179491927247           -14103.981952832277            2175.8040601613448             208528.0392645022            12956642.812660517            404.93274966102297            -316949.7570944428            -6941.219555521521            -38520.54622011134            1414.3302407655824           -122900.98422573357
                        6        649.5491887712169      0.44997045256724294        0.506064442962229      0.13999930526705456    0.0030362227961533653  -3.0001300638285047e-06       379.73402029125276    -0.008476867185507274      0.10002067704606565     0.010075614237001006       0.5999993524985219       1.0020550566474673        -2.254056143915477e-05         -0.002626438467295205          0.005390615966425747        -6.175403959554317e-05           -436.39493418814106           -28.903073001030286       -0.00021278376699779075           -18762.019872417426          0.004135409213129603            1.5122847400201103        -3.237507390507765e-05          0.045667925499273364             7.517650775552186            26664.127023625068           -14103.951851019558            2175.8000502896653             208519.6489231829            12953876.079673856            404.93036243133224           -316970.09001765563            -6941.197524156144            -38520.43535060984             1414.336767872368           -122900.32619824242
                        7        649.5491916534825      0.44997045396485796       0.5060638612789337       0.1399993052912679    0.0030362802336758947   -3.000130055799683e-06         379.734025898039    -0.008476878133092577      0.10002067624219765     0.010075610488497738       0.5999993525635221       1.0020550102119117        -2.254041732587666e-05         -0.002626314234848653          0.005390098914607695         -6.17518872999175e-05            -436.3821702942456           -28.901288818453484       -0.00021277928156878263            -18762.03406048798          0.004135248439529614            1.5122097699547463        -3.237182389370651e-05            0.0456668935980373             7.517600497493194            26664.149093408985            -14103.96810190991            2175.8008301449154            208526.07679219768            12956805.293250185            404.93106408702926            -316965.1640471954           -6941.2095609191065             -38520.4964305675            1414.3308422773882           -122900.51937001859
                        8         649.549199429907      0.44997045459094515       0.5060632047516229      0.13999930529666438    0.0030362748923415707  -3.0001300587921387e-06       379.73402993299817    -0.008476878355837334      0.10002067583208393      0.01007560844532844       0.5999993525307612       1.0020549774286103        -2.254002850464758e-05        -0.0026262585826546886          0.005389515334775928        -6.175140761202315e-05           -436.38335725742877            -28.90195380858555       -0.00021277605360146482           -18762.034349165184          0.004135166416785462            1.5121689065688073       -3.2373461938961505e-05           0.04566616508022826             7.517609306884158            26664.142825247203           -14103.988995006564            2175.7992507676413            208525.60069787505            12956563.602404477            404.93115479878253            -316964.9607446467            -6941.208369559398             -38520.4837236632            1414.3286640354393           -122900.54289985956
                        9        649.5491811189797      0.44997045100910144       0.5060630218987541      0.13999930520535522     0.003036269426189684   -3.000130048359423e-06        379.7340224834606    -0.008476899526677179      0.10002067717856926     0.010075612581087343       0.5999993518262525       1.0020550422863927       -2.2540944051013413e-05        -0.0026265769687622903          0.005389352798892509        -6.175952398132819e-05             -436.384571957848           -28.899635427363446       -0.00021278201323152645           -18762.061786573624          0.004135435713850665            1.5122516217468476        -3.240868737264257e-05          0.045667606364283325            7.5175200992933195             26664.05947473042           -14103.988215959816            2175.7896129199603            208517.77473340422            12955103.328819536            404.92750612664986            -316998.2714712585            -6941.179888560707            -38520.33006242051            1414.3290021965377           -122899.53359089987
                       10        600.0215991491815       0.4416127994923644        0.982675310872704       0.1397983995315247    0.0005516554141962058   -2.976104351932758e-06       355.44646193325434    0.0011712040235380998      0.10381427240661861     0.027164088549103363       0.5985563940147296       1.2085093978657329         -0.002498920042540925           -0.7455289340120519           0.42904472077573685         -0.017920041642249807            -988.5210190675098             5310.144014942645          -0.01964283045339653            -6258.119585494623            0.7628544813237214             343.2817709820672          -0.07218029926351897             4.633542174794063           -261.90018594026316           -1090017.2275453415           -143807.42911487582           -270092.02202906535            -7933086255.020197           -1423826275803.3337            115.57387460859667             819307.7992896518            60906.375729468746            477520.89486517565             6064.636761683006             36162.55675218198
